SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.64268587634,3.83648620167,1416587.00000000000,62,0,3,0
Malaysia,2,384580,26.70694423080,0,63,63,1.22419002548,5.97002662042,470799.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.35030389225,3.58102462581,387200.00000000000,62,0,3,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.14151311469,2.14473435002,187883.00000000000,61,0,55,0
Peru,5,1532376,106.41499914900,0,63,63,0.20576085765,2.42371378695,315303.00000000000,62,0,3,0
Argentina,6,4013074,278.68569221500,0,63,63,0.45310652134,3.90285820388,1818350.00000000000,62,0,3,0
United Kingdom,7,516487,35.86715249080,0,63,63,13.12588506580,17.40320499550,6779349.00000000000,61,0,4,8
Cyprus,8,7653,0.53145832908,0,63,63,9.11224356462,13.98193091470,69736.00000000000,61,0,4,6
India,9,4012354,278.63569221500,0,63,63,2.58793167303,5.70176387506,10383698.00000000000,63,0,2,0
China,10,13697660,951.22638127900,0,63,63,0.89826517814,4.23932359929,12304131.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,16.25326174360,18.66070209060,626612.00000000000,61,0,50,9
Lebanon,12,14036,0.97472221442,0,63,63,10.58214591050,12.66909645440,148531.00000000000,62,0,3,7
Ethiopia,13,1334965,92.70590203610,0,63,63,0.01550227909,0.72830969745,20695.00000000000,61,0,47,0
South Sudan,14,739530,51.35624958920,0,29,29,0.01836571877,0.56831229147,13582.00000000000,17,0,29,0
Somalia,15,554651,38.51743024740,0,61,61,0.00876406966,0.48625599814,4861.00000000000,52,0,30,0
Kenya,16,685660,47.61527739690,0,63,63,0.07417087186,1.53801973971,50856.00000000000,60,0,51,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.16403811227,5.75253966309,2546270.00000000000,62,0,3,0
Malawi,18,143472,9.96333325363,0,63,63,0.12183561949,2.17931884866,17480.00000000000,55,0,50,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.04462242357,1.13782320396,49486.00000000000,61,0,53,0
Syria,20,264497,18.36784707530,0,63,63,3.34269953913,8.02385074887,884134.00000000000,61,0,59,0
Somaliland,21,198714,13.79958322290,0,18,18,0.00391014221,0.19213845687,777.00000000000,15,0,12,0
France,22,1071931,74.43965218230,0,63,63,7.32342846694,11.61836797990,7850210.00000000000,62,0,3,5
Suriname,23,170228,11.82138879430,0,61,61,0.08317080621,1.42856811027,14158.00000000000,59,0,35,0
Guyana,24,248072,17.22722208440,0,59,59,0.04908655552,1.00766050846,12177.00000000000,55,0,39,0
South Korea,25,142550,9.89930547636,0,63,63,15.35354612420,15.10552429200,2188648.00000000000,62,0,3,10
North Korea,26,186307,12.93798600760,0,59,59,0.19588099213,1.61793689003,36494.00000000000,56,0,36,0
Morocco,27,797106,55.35458289050,0,63,63,0.46453671155,3.61050506770,370285.00000000000,62,0,3,0
Western Sahara,28,115908,8.04916660227,0,25,25,0.00296787107,0.18486068874,344.00000000000,14,0,7,0
Costa Rica,29,60734,4.21763885515,0,63,63,1.74174268120,7.45219143229,105783.00000000000,61,0,53,0
Nicaragua,30,154340,10.71805546980,0,63,63,0.30135415317,2.67598508659,46511.00000000000,61,0,53,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.03591540576,1.18991340345,14503.00000000000,61,0,37,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02153719200,0.93705370824,58828.00000000000,59,0,6,0
Bhutan,33,53042,3.68347219275,0,22,22,0.03033445194,0.56426307541,1609.00000000000,20,0,21,0
Ukraine,34,1015750,70.53819388010,0,63,63,4.06955943884,7.47014458237,4133655.00000000000,62,0,3,0
Belarus,35,404959,28.12215255280,0,63,63,1.70570600974,5.45815357333,690741.00000000000,61,0,63,0
Namibia,36,1038865,72.14340220060,0,63,63,0.03938047773,1.03618871726,40911.00000000000,61,0,57,0
South Africa,37,1628616,113.09833242900,0,63,63,1.11341101893,5.92904860259,1813319.00000000000,62,0,3,0
Netherlands,38,71480,4.96388884918,0,63,63,24.57888919980,16.89197679430,1756899.00000000000,61,0,4,19
Oman,39,388545,26.98229145080,0,63,63,0.94374911529,5.11913947914,366689.00000000000,62,0,3,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.85737618561,6.18894858806,1297537.00000000000,62,0,3,0
