SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.78117901230,3.54825179685,1721849.00000000000,63,0,46,0
Malaysia,2,384580,26.70694423080,0,63,63,2.47610640179,8.06031230554,952261.00000000000,63,0,52,0
Chile,3,1105326,76.75874938590,0,63,63,0.59195929527,3.90532277372,654308.00000000000,63,0,49,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13594396809,1.89176927860,180489.00000000000,63,0,45,0
Peru,5,1532376,106.41499914900,0,63,63,0.29315063666,2.53169191717,449217.00000000000,63,0,45,0
Argentina,6,4013074,278.68569221500,0,63,63,0.59500298275,3.93420713254,2387791.00000000000,63,0,51,0
United Kingdom,7,516487,35.86715249080,0,63,63,10.85457136380,15.23595611640,5606245.00000000000,63,0,2,5
Cyprus,8,7653,0.53145832908,0,63,63,10.82882529730,14.16747452890,82873.00000000000,63,3,45,5
India,9,4012354,278.63569221500,0,63,63,2.60832269536,5.34681505282,10465514.00000000000,63,0,56,0
China,10,13697660,951.22638127900,0,63,63,1.29704402066,5.22849697119,17766468.00000000000,63,0,48,0
Israel,11,38553,2.67729164525,0,63,63,17.60571161780,19.41830885560,678753.00000000000,63,0,47,9
Lebanon,12,14036,0.97472221442,0,63,63,17.79823311480,15.52554820950,249816.00000000000,63,3,56,13
Ethiopia,13,1334965,92.70590203610,0,63,63,0.04693980741,0.90582812452,62663.00000000000,63,0,51,0
South Sudan,14,739530,51.35624958920,0,23,23,0.00645004259,0.20387717975,4770.00000000000,22,0,14,0
Somalia,15,554651,38.51743024740,0,19,19,0.00607048396,0.18571797906,3367.00000000000,18,0,17,0
Kenya,16,685660,47.61527739690,0,61,61,0.11007788117,1.31657359998,75476.00000000000,61,0,51,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.18529629985,5.54709592407,2571283.00000000000,63,0,55,0
Malawi,18,143472,9.96333325363,0,63,63,0.24453551913,2.37424413475,35084.00000000000,62,0,63,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.05711121972,1.00431748566,63336.00000000000,63,0,38,0
Syria,20,264497,18.36784707530,0,63,63,3.42029210161,7.36621126487,904657.00000000000,63,0,55,0
Somaliland,21,198714,13.79958322290,0,35,35,0.01573115130,0.41389082766,3126.00000000000,30,0,17,0
France,22,1071931,74.43965218230,0,63,63,7.31491112768,10.81755056290,7841080.00000000000,63,0,52,4
Suriname,23,170228,11.82138879430,0,62,62,0.13245177057,1.67789909110,22547.00000000000,61,0,44,0
Guyana,24,248072,17.22722208440,0,58,58,0.05479054468,0.87001295062,13592.00000000000,54,0,37,0
South Korea,25,142550,9.89930547636,0,63,63,15.80440547180,16.72803824870,2252918.00000000000,63,4,2,8
North Korea,26,186307,12.93798600760,0,53,53,0.18207582109,1.26047836253,33922.00000000000,51,0,37,0
Morocco,27,797106,55.35458289050,0,63,63,0.75172938104,3.91583158088,599208.00000000000,63,0,57,0
Western Sahara,28,115908,8.04916660227,0,12,12,0.00214825551,0.10370109752,249.00000000000,11,0,10,0
Costa Rica,29,60734,4.21763885515,0,63,63,2.96143840353,6.62523917040,179860.00000000000,63,0,41,2
Nicaragua,30,154340,10.71805546980,0,63,63,0.44534145393,2.83220192832,68734.00000000000,63,0,48,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.12309006711,1.80934648355,49705.00000000000,63,0,2,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02466738496,0.82815518251,67378.00000000000,63,0,59,0
Bhutan,33,53042,3.68347219275,0,23,23,0.14773198597,0.96490559085,7836.00000000000,22,0,23,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.51441299532,5.25444082718,2554015.00000000000,63,0,57,0
Belarus,35,404959,28.12215255280,0,63,63,1.81814949168,5.23531406581,736276.00000000000,63,0,2,0
Namibia,36,1038865,72.14340220060,0,63,63,0.05325427269,1.01538641587,55324.00000000000,63,0,49,0
South Africa,37,1628616,113.09833242900,0,63,63,1.21664959696,5.47647333842,1981455.00000000000,63,0,49,0
Netherlands,38,71480,4.96388884918,0,63,63,20.18462506990,15.86567077040,1442797.00000000000,63,7,2,15
Oman,39,388545,26.98229145080,0,63,63,1.51076966632,5.93373939744,587002.00000000000,63,0,57,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.43688536558,4.83550292640,1003788.00000000000,63,0,58,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.34005194829,2.41910071546,1612796.00000000000,63,0,58,0
Tajikistan,42,211630,14.69652766020,0,60,60,0.72419316732,2.83509542319,153261.00000000000,60,0,60,0
Lithuania,43,132375,9.19270825979,0,63,63,2.53827384325,6.55735951578,336004.00000000000,63,0,2,0
Brazil,44,10182356,707.10804989900,0,63,63,0.64457498834,3.97465057474,6563292.00000000000,63,0,2,0
Uruguay,45,245896,17.07611097450,0,62,62,0.59183557276,3.84890906072,145530.00000000000,62,0,55,0
Mongolia,46,2658249,184.60062352300,0,63,63,0.02085094361,0.58705802584,55427.00000000000,63,0,51,0
Russia,47,41034337,2849.60671331000,0,63,63,0.61392450425,3.45077645548,25191985.00000000000,63,0,60,0
Czechia,48,141429,9.82145825476,0,63,63,11.42260781030,10.14802802800,1615488.00000000000,62,5,63,8
Germany,49,661451,45.93409685470,0,63,63,11.00149217400,11.13236462140,7276948.00000000000,63,4,2,7
Estonia,50,102099,7.09020827661,0,63,63,2.63533433236,7.08023479526,269065.00000000000,62,0,51,0
Latvia,51,136848,9.50333325731,0,63,63,1.52146907518,5.48217760899,208210.00000000000,63,0,63,0
Norway,52,862002,59.86124952110,0,63,63,2.53539318934,6.74570738131,2185514.00000000000,63,0,2,0
Sweden,53,1131243,78.55854103820,0,63,63,2.90743810127,6.93639794680,3289019.00000000000,63,0,2,0
Finland,54,898283,62.38076338980,0,63,63,3.48787742838,8.15349304524,3133101.00000000000,62,0,63,0
Vietnam,55,402394,27.94402755420,0,63,63,1.73649457994,5.23785192556,698755.00000000000,63,0,50,0
Cambodia,56,217016,15.07055543500,0,62,62,0.07745051056,1.30383520070,16808.00000000000,60,0,47,0
Luxembourg,57,4681,0.32506944184,5,62,57,19.04123050630,14.06082130200,89132.00000000000,58,9,62,13
United Arab Emirates,58,90774,6.30374994957,0,63,63,8.53351179853,15.82137549610,774621.00000000000,63,0,46,2
Belgium,59,56126,3.89763885771,0,63,63,25.31605672950,16.50286504120,1420889.00000000000,62,5,0,22
Georgia,60,109182,7.58208327268,0,58,58,0.75548167280,2.86717411801,82485.00000000000,58,0,58,0
Macedonia,61,39477,2.74145831140,0,63,63,3.35975378068,6.72860148841,132633.00000000000,63,0,57,0
Albania,62,43765,3.03923608680,0,60,60,1.92452873301,4.71378385354,84227.00000000000,59,0,52,0
Azerbaijan,63,131531,9.13409714915,0,63,63,1.94494073640,5.26875480973,255820.00000000000,63,0,63,0
Kosovo,64,17241,1.19729165709,0,59,59,4.68354503799,6.81457673713,80749.00000000000,59,0,2,3
Turkey,65,1169384,81.20722157260,0,63,63,1.92346483277,5.30552821951,2249269.00000000000,63,0,56,0
Spain,66,773025,53.68229123720,0,63,63,6.58825652469,11.72746208510,5092887.00000000000,63,0,53,3
Laos,67,281234,19.53013873260,0,60,60,0.07670836385,1.17090674354,21573.00000000000,58,0,49,0
Kyrgyzstan,68,308881,21.45006927280,0,61,61,0.49581230312,2.41250077200,153147.00000000000,61,0,61,0
Armenia,69,45122,3.13347219715,0,61,61,1.36441203847,4.60764308784,61565.00000000000,61,0,32,0
Denmark,70,4443327,308.56437253100,0,62,62,0.16012303393,1.72448065558,711479.00000000000,61,0,62,0
Libya,71,2129936,147.91222103900,0,63,63,0.46014105588,3.26576240251,980071.00000000000,63,0,56,0
Tunisia,72,220486,15.31152765530,0,63,63,2.22626833450,6.30247073712,490861.00000000000,63,0,54,0
Romania,73,394378,27.38736089200,0,63,63,3.11455760717,5.88319039035,1228313.00000000000,63,0,63,3
Hungary,74,159246,11.05874991150,0,63,63,5.64590005400,8.94726004453,899087.00000000000,62,0,56,4
Slovakia,75,85242,5.91958328598,0,63,63,6.42598718941,8.57840722780,547764.00000000000,62,0,58,5
Poland,76,592479,41.14437467080,0,63,63,8.19925769521,9.80481025956,4857888.00000000000,63,0,2,6
Ireland,77,134412,9.33416659199,0,63,63,5.61353896973,7.70825608483,754527.00000000000,63,4,2,4
Greece,78,196929,13.67562489060,0,63,63,5.44978647127,9.27887471220,1073221.00000000000,63,0,57,3
Zambia,79,904324,62.80027727540,0,63,63,0.09222137199,1.49830566844,83398.00000000000,63,0,2,0
Sierra Leone,80,84695,5.88159717517,0,29,29,0.03049766810,0.57876532030,2583.00000000000,29,0,23,0
Guinea,81,290510,20.17430539420,0,41,41,0.04096588758,0.78375354032,11901.00000000000,41,0,41,0
Liberia,82,112194,7.79124993767,0,18,18,0.03380751199,0.44141581880,3793.00000000000,18,0,17,0
Central African Republic,83,727873,50.54673570670,0,33,33,0.00370394286,0.21675675419,2696.00000000000,30,0,23,0
Sudan,84,2262248,157.10055429900,0,63,63,0.09164866098,1.33884885228,207332.00000000000,63,0,44,0
Djibouti,85,26109,1.81312498550,0,61,61,0.16143858440,2.18831307114,4215.00000000000,46,0,16,0
Eritrea,86,148570,10.31736102860,0,59,59,0.06440061924,1.01186278276,9568.00000000000,55,0,32,0
Austria,87,144646,10.04486103080,0,63,63,6.93525572778,9.24222577420,1003157.00000000000,62,0,57,5
Iraq,88,608348,42.24638855090,0,63,63,1.90119306713,6.17376394889,1156587.00000000000,63,0,46,0
Italy,89,477696,33.17333306790,0,63,63,14.21168483720,15.04569445810,6788865.00000000000,63,0,55,8
Switzerland,90,70296,4.88166662761,0,63,63,12.53785421650,13.95287027490,881361.00000000000,62,0,63,8
Iran,91,2247640,156.08610986200,0,63,63,2.44737324483,6.79098265391,5500814.00000000000,63,0,57,0
Liechtenstein,92,237,0.01645833320,4,54,50,24.90295358650,15.21807274630,5902.00000000000,50,5,18,24
Ivory Coast,93,378558,26.28874978970,0,62,62,0.37028671960,2.17195797670,140175.00000000000,62,0,62,0
Republic of Serbia,94,125829,8.73812493010,0,63,63,5.43429575058,8.12500585018,683792.00000000000,63,0,2,4
Mali,95,1536343,106.69048525800,0,63,63,0.02065944909,0.69944475077,31740.00000000000,63,0,44,0
Senegal,96,236749,16.44090264630,0,63,63,0.18955518292,2.03209356878,44877.00000000000,63,0,50,0
Nigeria,97,1077169,74.80340217940,0,63,63,0.88410732206,4.61815219703,952333.00000000000,63,0,55,0
