SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.79380101417,3.48935683108,1749670.00000000000,63,0,2,0
Malaysia,2,384580,26.70694423080,0,63,63,2.16416090280,7.26031378080,832293.00000000000,62,0,54,0
Chile,3,1105326,76.75874938590,0,63,63,0.55349281569,3.81441602315,611790.00000000000,63,0,2,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13580236685,1.84950084274,180301.00000000000,63,0,2,0
Peru,5,1532376,106.41499914900,0,63,63,0.27513417073,2.48587582423,421609.00000000000,63,0,2,0
Argentina,6,4013074,278.68569221500,0,63,63,0.58897144683,3.94132140371,2363586.00000000000,63,0,2,0
United Kingdom,7,516487,35.86715249080,0,63,63,11.94744688640,16.34036033540,6170701.00000000000,63,0,2,6
Cyprus,8,7653,0.53145832908,0,63,63,10.14125179670,13.28874178200,77611.00000000000,63,3,2,5
India,9,4012354,278.63569221500,0,63,63,2.90270474639,5.59528264674,11646679.00000000000,63,0,52,0
China,10,13697660,951.22638127900,0,63,63,0.98427534338,4.12898808444,13482269.00000000000,63,0,63,0
Israel,11,38553,2.67729164525,0,63,63,17.03154099550,19.21494770730,656617.00000000000,63,0,2,9
Lebanon,12,14036,0.97472221442,0,63,63,17.03355656880,15.86601242150,239083.00000000000,62,0,55,11
Ethiopia,13,1334965,92.70590203610,0,62,62,0.03243006371,0.72124798844,43293.00000000000,62,0,45,0
South Sudan,14,739530,51.35624958920,0,12,12,0.00240152529,0.12076663695,1776.00000000000,11,0,12,0
Somalia,15,554651,38.51743024740,0,18,18,0.00560712953,0.18411900216,3110.00000000000,16,0,18,0
Kenya,16,685660,47.61527739690,0,60,60,0.11822769303,1.36130407213,81064.00000000000,59,0,60,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.23417831789,5.59072035074,2628799.00000000000,63,0,54,0
Malawi,18,143472,9.96333325363,0,62,62,0.22644139623,2.21740823237,32488.00000000000,61,0,33,0
