SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.75277100147,3.62448485934,1659233.00000000000,63,0,53,0
Malaysia,2,384580,26.70694423080,0,63,63,2.57430183577,8.30748462898,990025.00000000000,63,0,47,0
Chile,3,1105326,76.75874938590,0,63,63,0.55134231892,3.74409409773,609413.00000000000,63,0,44,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13495049982,1.91764930051,179170.00000000000,63,0,43,0
Peru,5,1532376,106.41499914900,0,63,63,0.28005071862,2.45933785820,429143.00000000000,63,0,63,0
Argentina,6,4013074,278.68569221500,0,63,63,0.58353048062,3.87689597097,2341751.00000000000,64,0,1,0
United Kingdom,7,516487,35.86715249080,0,63,63,11.09721638690,15.70866277890,5731568.00000000000,63,0,48,5
Cyprus,8,7653,0.53145832908,0,63,63,11.00966941070,14.39140968560,84257.00000000000,63,3,63,5
India,9,4012354,278.63569221500,0,63,63,2.68492785033,5.39026621969,10772881.00000000000,63,0,49,0
China,10,13697660,951.22638127900,0,63,63,1.40638787939,5.43739610028,19264223.00000000000,63,0,63,0
Israel,11,38553,2.67729164525,0,63,63,17.63852359090,19.31664004950,680018.00000000000,63,0,43,9
Lebanon,12,14036,0.97472221442,0,63,63,13.19008264460,13.15645289370,185136.00000000000,63,0,63,9
Ethiopia,13,1334965,92.70590203610,0,63,63,0.05250624548,0.94579492583,70094.00000000000,63,0,38,0
South Sudan,14,739530,51.35624958920,0,34,34,0.00942220059,0.28996239937,6968.00000000000,31,0,27,0
Somalia,15,554651,38.51743024740,0,15,15,0.00518704555,0.16465929441,2877.00000000000,15,0,14,0
Kenya,16,685660,47.61527739690,0,60,60,0.09606802205,1.26612114017,65870.00000000000,60,0,2,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.27436855627,5.70033706575,2676088.00000000000,63,0,48,0
Malawi,18,143472,9.96333325363,0,58,58,0.19175170068,2.11497558304,27511.00000000000,56,0,43,0
United Republic of Tanzania,19,1108994,77.01347160610,0,61,61,0.04806067481,0.96310522153,53299.00000000000,60,0,50,0
Syria,20,264497,18.36784707530,0,63,63,3.32778821688,7.16386913562,880190.00000000000,63,0,53,0
Somaliland,21,198714,13.79958322290,0,37,37,0.01523798021,0.43009151362,3028.00000000000,31,0,2,0
France,22,1071931,74.43965218230,0,63,63,7.45855097017,10.98324821540,7995052.00000000000,63,0,52,5
Suriname,23,170228,11.82138879430,0,57,57,0.12157811876,1.52891128769,20696.00000000000,57,0,38,0
Guyana,24,248072,17.22722208440,0,55,55,0.05094085588,0.83533125641,12637.00000000000,52,0,35,0
South Korea,25,142550,9.89930547636,0,63,63,15.40090494560,16.72794834800,2195399.00000000000,63,3,44,8
North Korea,26,186307,12.93798600760,0,47,47,0.14803523217,1.12360213369,27580.00000000000,46,0,39,0
Morocco,27,797106,55.35458289050,0,63,63,0.75084869516,3.92190581285,598506.00000000000,63,0,51,0
Western Sahara,28,115908,8.04916660227,0,27,27,0.00785105428,0.25038975624,910.00000000000,20,0,2,0
