SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.84999412477,3.66002918530,1873529.00000000000,63,0,2,0
Malaysia,2,384580,26.70694423080,0,63,63,2.32061729679,7.68243032001,892463.00000000000,62,0,54,0
Chile,3,1105326,76.75874938590,0,63,63,0.57950143216,3.96600755371,640538.00000000000,63,0,2,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13272178671,1.85769482007,176211.00000000000,63,0,2,0
Peru,5,1532376,106.41499914900,0,63,63,0.28207176307,2.52356527882,432240.00000000000,63,0,2,0
Argentina,6,4013074,278.68569221500,0,63,63,0.59349640699,4.05246525176,2381745.00000000000,63,0,2,0
United Kingdom,7,516487,35.86715249080,0,63,63,12.04460712470,16.51715315430,6220883.00000000000,63,0,2,6
Cyprus,8,7653,0.53145832908,0,63,63,10.39618450280,13.77603029400,79562.00000000000,62,0,46,5
India,9,4012354,278.63569221500,0,63,63,2.96117889897,5.89111243651,11881298.00000000000,63,0,52,0
China,10,13697660,951.22638127900,0,63,63,1.06763578597,4.47964375504,14624112.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,17.56597411360,19.65124057960,677221.00000000000,63,0,2,9
Lebanon,12,14036,0.97472221442,0,63,63,17.80792248500,15.86319883130,249952.00000000000,63,0,2,13
Ethiopia,13,1334965,92.70590203610,0,62,62,0.03432224815,0.76921045073,45819.00000000000,62,0,2,0
South Sudan,14,739530,51.35624958920,0,12,12,0.00216759293,0.11013030261,1603.00000000000,11,0,12,0
Somalia,15,554651,38.51743024740,0,20,20,0.00646893272,0.20013855029,3588.00000000000,17,0,18,0
Kenya,16,685660,47.61527739690,0,60,60,0.11823936062,1.40679783702,81072.00000000000,59,0,60,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.38832716175,5.94971714177,2810175.00000000000,63,0,55,0
Malawi,18,143472,9.96333325363,0,62,62,0.24243754879,2.32500969014,34783.00000000000,61,0,31,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06000844008,1.11552409963,66549.00000000000,62,0,55,0
Syria,20,264497,18.36784707530,0,63,63,3.40445449287,7.28153859344,900468.00000000000,63,0,2,0
Somaliland,21,198714,13.79958322290,0,32,32,0.01235947140,0.38254305204,2456.00000000000,28,0,20,0
France,22,1071931,74.43965218230,0,63,63,7.97740432920,11.73627857860,8551227.00000000000,63,0,2,5
Suriname,23,170228,11.82138879430,0,62,62,0.13735695655,1.74138371032,23382.00000000000,61,0,44,0
Guyana,24,248072,17.22722208440,0,61,61,0.06585991164,1.00928080056,16338.00000000000,57,0,41,0
South Korea,25,142550,9.89930547636,0,63,63,17.05878639070,16.73373700620,2431730.00000000000,62,4,48,10
North Korea,26,186307,12.93798600760,0,50,50,0.22265400656,1.39842365319,41482.00000000000,48,0,39,0
Morocco,27,797106,55.35458289050,0,63,63,0.62309153362,3.64246747989,496670.00000000000,63,0,54,0
Western Sahara,28,115908,8.04916660227,0,32,32,0.00468474997,0.22839876374,543.00000000000,19,0,10,0
Costa Rica,29,60734,4.21763885515,0,63,63,3.35313004248,7.36448064228,203649.00000000000,62,0,43,0
Nicaragua,30,154340,10.71805546980,0,63,63,0.53214331994,3.25053353042,82131.00000000000,63,0,43,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.06428518363,1.24100210755,25959.00000000000,62,0,48,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02423648004,0.84481477857,66201.00000000000,62,0,33,0
Bhutan,33,53042,3.68347219275,0,21,21,0.09956261076,0.82670641393,5281.00000000000,20,0,20,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.76880531627,5.66379029166,2812414.00000000000,62,0,63,0
Belarus,35,404959,28.12215255280,0,63,63,1.98971500819,5.50304961217,805753.00000000000,62,0,3,0
Namibia,36,1038865,72.14340220060,0,63,63,0.05489356172,1.03607755046,57027.00000000000,63,0,51,0
South Africa,37,1628616,113.09833242900,0,63,63,1.23651124636,5.71946901296,2013802.00000000000,63,0,50,0
Netherlands,38,71480,4.96388884918,0,63,63,22.61766927810,17.65601424130,1616711.00000000000,62,7,3,16
Oman,39,388545,26.98229145080,0,63,63,1.35583265774,5.78563888666,526802.00000000000,63,0,2,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.52859776749,5.16568939395,1067857.00000000000,63,0,2,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.26647715808,2.32319152828,1263846.00000000000,62,0,54,0
Tajikistan,42,211630,14.69652766020,0,61,61,0.66294948731,2.91785194569,140300.00000000000,60,0,61,0
Lithuania,43,132375,9.19270825979,0,63,63,1.84447969783,6.06311114368,244163.00000000000,62,0,3,0
Brazil,44,10182356,707.10804989900,0,63,63,0.60647879528,3.90007813082,6175383.00000000000,63,0,2,0
Uruguay,45,245896,17.07611097450,0,63,63,0.76845495657,4.61108244697,188960.00000000000,62,0,56,0
Mongolia,46,2658249,184.60062352300,0,63,63,0.02162739457,0.62497144035,57491.00000000000,62,0,47,0
Russia,47,41034337,2849.60671331000,0,63,63,0.56666527840,3.52707212430,23252734.00000000000,63,0,2,0
Czechia,48,141429,9.82145825476,0,63,63,12.24475885430,10.68669130680,1731764.00000000000,62,6,3,9
Germany,49,661451,45.93409685470,0,63,63,11.41390669910,12.10686169810,7549740.00000000000,62,5,3,7
Estonia,50,102099,7.09020827661,0,63,63,2.43280541435,7.96081191263,248387.00000000000,62,0,3,0
Latvia,51,136848,9.50333325731,0,63,63,1.36568309365,5.57153447288,186891.00000000000,62,0,3,0
Norway,52,862002,59.86124952110,0,63,63,1.85237621258,7.35025123278,1596752.00000000000,61,0,4,0
Sweden,53,1131243,78.55854103820,0,63,63,2.17887491901,7.06863070910,2464837.00000000000,62,0,3,0
Finland,54,898283,62.38076338980,0,63,63,2.73962437227,9.13116079254,2460958.00000000000,62,0,4,0
Vietnam,55,402394,27.94402755420,0,63,63,1.48897846389,4.59529005125,599156.00000000000,62,0,54,0
Cambodia,56,217016,15.07055543500,0,62,62,0.07054318576,1.24250815377,15309.00000000000,61,0,40,0
Luxembourg,57,4681,0.32506944184,5,63,58,20.06601153600,15.27349893770,93929.00000000000,59,8,62,13
United Arab Emirates,58,90774,6.30374994957,0,63,63,7.75751867275,15.18500047280,704181.00000000000,62,0,50,0
Belgium,59,56126,3.89763885771,0,63,63,27.75631614580,18.23175806200,1557851.00000000000,62,5,3,24
Georgia,60,109182,7.58208327268,0,56,56,0.37857888663,2.40498934191,41334.00000000000,55,0,45,0
Macedonia,61,39477,2.74145831140,0,61,61,3.39620538541,6.56795081053,134072.00000000000,60,0,57,0
Albania,62,43765,3.03923608680,0,60,60,1.45956814806,4.04896260256,63878.00000000000,59,0,60,0
Azerbaijan,63,131531,9.13409714915,0,61,61,1.37516631060,4.88675306621,180877.00000000000,61,0,2,0
Kosovo,64,17241,1.19729165709,0,57,57,3.95968911316,6.55008404124,68269.00000000000,56,0,53,0
Turkey,65,1169384,81.20722157260,0,63,63,1.70993104062,5.14776241282,1999566.00000000000,63,0,2,0
Spain,66,773025,53.68229123720,0,63,63,6.56311503509,11.85767058090,5073452.00000000000,63,0,2,4
Laos,67,281234,19.53013873260,0,62,62,0.07155607075,1.17853427419,20124.00000000000,61,0,36,0
Kyrgyzstan,68,308881,21.45006927280,0,62,62,0.54120842655,2.88450039944,167169.00000000000,61,0,52,0
Armenia,69,45122,3.13347219715,0,58,58,0.93145250654,3.63916739807,42029.00000000000,58,0,2,0
Denmark,70,4443327,308.56437253100,0,63,63,0.15660652480,1.82602835660,695854.00000000000,62,0,3,0
Libya,71,2129936,147.91222103900,0,63,63,0.39222446120,3.07119031898,835413.00000000000,63,0,2,0
Tunisia,72,220486,15.31152765530,0,63,63,2.48702411945,6.76778604628,548354.00000000000,63,0,2,0
Romania,73,394378,27.38736089200,0,63,63,3.29576954090,5.79322874372,1299779.00000000000,62,0,62,0
Hungary,74,159246,11.05874991150,0,63,63,6.61359155018,9.36212797001,1053188.00000000000,62,0,57,5
Slovakia,75,85242,5.91958328598,0,63,63,8.67803430234,9.57596223435,739733.00000000000,62,0,3,6
Poland,76,592479,41.14437467080,0,63,63,7.78554345386,9.78702865321,4612771.00000000000,62,0,3,5
Ireland,77,134412,9.33416659199,0,63,63,5.92508853376,8.49725720624,796403.00000000000,62,0,3,5
Greece,78,196929,13.67562489060,0,63,63,5.00649980450,8.73149228913,985925.00000000000,62,0,56,4
Zambia,79,904324,62.80027727540,0,63,63,0.09260397822,1.52955578070,83744.00000000000,62,0,49,0
Sierra Leone,80,84695,5.88159717517,0,29,29,0.01776964402,0.44175821887,1505.00000000000,23,0,14,0
Guinea,81,290510,20.17430539420,0,59,59,0.04734776772,1.02972871792,13755.00000000000,58,0,34,0
Liberia,82,112194,7.79124993767,0,25,25,0.02022389789,0.36631708872,2269.00000000000,20,0,13,0
Central African Republic,83,727873,50.54673570670,0,52,52,0.00579634085,0.33851464989,4219.00000000000,48,0,21,0
Sudan,84,2262248,157.10055429900,0,63,63,0.07550498442,1.30701032112,170811.00000000000,63,0,2,0
Djibouti,85,26109,1.81312498550,0,63,63,0.11329426635,1.77831137388,2958.00000000000,43,0,9,0
Eritrea,86,148570,10.31736102860,0,61,61,0.06085346974,1.04416449359,9041.00000000000,55,0,28,0
Austria,87,144646,10.04486103080,0,63,63,7.55731233494,9.50056211100,1093135.00000000000,62,0,55,6
Iraq,88,608348,42.24638855090,0,63,63,1.73051444239,6.27123012810,1052755.00000000000,63,0,2,0
Italy,89,477696,33.17333306790,0,63,63,13.88107289990,15.04746202280,6630933.00000000000,62,0,55,8
Switzerland,90,70296,4.88166662761,0,63,63,10.67386480030,12.85019028040,750330.00000000000,62,0,63,7
Iran,91,2247640,156.08610986200,0,63,63,1.98520314641,6.20619925888,4462022.00000000000,63,0,2,0
Liechtenstein,92,237,0.01645833320,0,47,47,19.29113924050,12.87278085290,4572.00000000000,42,0,17,18
Ivory Coast,93,378558,26.28874978970,0,63,63,0.43451729986,2.51546196178,164490.00000000000,63,0,63,0
Republic of Serbia,94,125829,8.73812493010,0,63,63,4.51553298524,7.13168099477,568185.00000000000,62,0,3,4
Mali,95,1536343,106.69048525800,0,63,63,0.01718821904,0.63447968712,26407.00000000000,60,0,49,0
Senegal,96,236749,16.44090264630,0,63,63,0.16906512805,1.96760981043,40026.00000000000,63,0,2,0
Nigeria,97,1077169,74.80340217940,0,63,63,1.07604841951,5.48817662628,1159086.00000000000,62,0,48,0
