SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.79625001191,3.59991573716,1755068.00000000000,63,0,47,0
Malaysia,2,384580,26.70694423080,0,63,63,2.57432003744,8.17094278259,990032.00000000000,63,0,50,0
Chile,3,1105326,76.75874938590,0,63,63,0.60394218538,3.98337323283,667553.00000000000,63,0,50,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13495501901,1.90897503574,179176.00000000000,63,0,38,0
Peru,5,1532376,106.41499914900,0,63,63,0.30251844195,2.55475735636,463572.00000000000,63,0,48,0
Argentina,6,4013074,278.68569221500,0,63,63,0.62758897543,4.09055452826,2518561.00000000000,63,0,53,0
United Kingdom,7,516487,35.86715249080,0,63,63,10.51035553650,15.28518087520,5428462.00000000000,63,0,52,5
Cyprus,8,7653,0.53145832908,0,63,63,11.13837710700,14.79725103740,85242.00000000000,63,3,47,5
India,9,4012354,278.63569221500,0,63,63,2.66713854261,5.52660847714,10701504.00000000000,63,0,54,0
China,10,13697660,951.22638127900,0,63,63,1.38575756735,5.47991244244,18981636.00000000000,63,0,50,0
Israel,11,38553,2.67729164525,0,63,63,17.63193525800,19.70249320680,679764.00000000000,63,0,52,9
Lebanon,12,14036,0.97472221442,0,63,63,15.59760615560,14.80716092940,218928.00000000000,63,0,49,11
Ethiopia,13,1334965,92.70590203610,0,63,63,0.05012041514,0.92410474222,66909.00000000000,63,0,59,0
South Sudan,14,739530,51.35624958920,0,34,34,0.00963314538,0.27153723485,7124.00000000000,30,0,23,0
Somalia,15,554651,38.51743024740,0,17,17,0.00615882780,0.18879132175,3416.00000000000,17,0,16,0
Kenya,16,685660,47.61527739690,0,61,61,0.11167050725,1.30801037098,76568.00000000000,61,0,61,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.26964999163,5.77231619913,2670536.00000000000,63,0,57,0
Malawi,18,143472,9.96333325363,0,63,63,0.21142801383,2.32200428613,30334.00000000000,62,0,59,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.05254672253,0.93950814422,58274.00000000000,63,0,39,0
Syria,20,264497,18.36784707530,0,63,63,3.39640903299,7.45089443046,898340.00000000000,63,0,52,0
Somaliland,21,198714,13.79958322290,0,36,36,0.01625954890,0.41950435455,3231.00000000000,30,0,19,0
France,22,1071931,74.43965218230,0,63,63,7.31489620134,10.97204407840,7841064.00000000000,63,0,51,4
Suriname,23,170228,11.82138879430,0,62,62,0.14822473389,1.73836129785,25232.00000000000,61,0,2,0
Guyana,24,248072,17.22722208440,0,59,59,0.05817262730,0.90992709999,14431.00000000000,53,0,27,0
South Korea,25,142550,9.89930547636,0,63,63,16.02925289370,16.92659830050,2284970.00000000000,63,4,47,8
North Korea,26,186307,12.93798600760,0,50,50,0.15617233920,1.12816168801,29096.00000000000,49,0,26,0
Morocco,27,797106,55.35458289050,0,63,63,0.77665831144,3.96709172298,619079.00000000000,63,0,56,0
Western Sahara,28,115908,8.04916660227,0,19,19,0.00320944197,0.15128506169,372.00000000000,15,0,8,0
Costa Rica,29,60734,4.21763885515,0,63,63,3.07733724108,6.83209153013,186899.00000000000,63,0,51,2
Nicaragua,30,154340,10.71805546980,0,63,63,0.43816897758,2.76746512204,67627.00000000000,63,0,47,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.13784205443,1.92975334806,55662.00000000000,63,0,39,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,62,62,0.02366499101,0.78388357635,64640.00000000000,62,0,34,0
Bhutan,33,53042,3.68347219275,0,25,25,0.14405565401,0.99281258868,7641.00000000000,25,0,21,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.20369776028,5.04901027541,2238406.00000000000,63,0,63,0
Belarus,35,404959,28.12215255280,0,63,63,1.71243014725,4.92056155315,693464.00000000000,63,0,63,0
Namibia,36,1038865,72.14340220060,0,63,63,0.04996703133,0.98423767987,51909.00000000000,63,0,47,0
South Africa,37,1628616,113.09833242900,0,63,63,1.23234943044,5.51609293544,2007024.00000000000,64,0,1,0
Netherlands,38,71480,4.96388884918,0,63,63,19.27641298270,16.04490874710,1377878.00000000000,63,6,63,13
Oman,39,388545,26.98229145080,0,63,63,1.50611640865,5.84847327548,585194.00000000000,63,0,56,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.39269324035,4.83744875954,972916.00000000000,63,0,61,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.36155741986,2.61030978959,1714792.00000000000,63,0,53,0
Tajikistan,42,211630,14.69652766020,0,61,61,0.60468270094,2.66461209766,127969.00000000000,61,0,52,0
Lithuania,43,132375,9.19270825979,0,62,62,1.99507459868,6.21587646405,264098.00000000000,62,0,2,0
