SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.79383050377,3.48332791394,1749735.00000000000,63,0,2,0
Malaysia,2,384580,26.70694423080,0,63,63,2.57955171876,8.08235137515,992044.00000000000,63,0,2,0
Chile,3,1105326,76.75874938590,0,63,63,0.55940962214,3.81933196282,618330.00000000000,63,0,2,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13588220585,1.89038886280,180407.00000000000,63,0,2,0
Peru,5,1532376,106.41499914900,0,63,63,0.28291750850,2.50321086688,433536.00000000000,63,0,2,0
Argentina,6,4013074,278.68569221500,0,63,63,0.57404448560,3.86088254226,2303683.00000000000,63,0,51,0
United Kingdom,7,516487,35.86715249080,0,63,63,10.61302801430,15.05485560960,5481491.00000000000,63,0,2,5
Cyprus,8,7653,0.53145832908,0,63,63,10.75591271400,13.75803125960,82315.00000000000,62,3,63,5
India,9,4012354,278.63569221500,0,63,63,2.84187586639,5.43092192883,11402612.00000000000,63,0,51,0
China,10,13697660,951.22638127900,0,63,63,1.36308318355,5.23576262502,18671050.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,17.01014188260,19.21993723870,655792.00000000000,63,0,2,9
Lebanon,12,14036,0.97472221442,0,63,63,16.25719578230,14.62872306660,228186.00000000000,63,0,2,12
Ethiopia,13,1334965,92.70590203610,0,63,63,0.04600120602,0.92563696222,61410.00000000000,63,0,50,0
South Sudan,14,739530,51.35624958920,0,19,19,0.00707070707,0.22094689197,5229.00000000000,17,0,15,0
Somalia,15,554651,38.51743024740,0,16,16,0.00744972965,0.19615514238,4132.00000000000,16,0,2,0
Kenya,16,685660,47.61527739690,0,58,58,0.11192427734,1.30065462658,76742.00000000000,57,0,41,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.37625623710,5.71370766986,2795972.00000000000,63,0,56,0
Malawi,18,143472,9.96333325363,0,63,63,0.23803250809,2.40125606022,34151.00000000000,61,0,37,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.05520318415,0.98686792421,61220.00000000000,62,0,48,0
Syria,20,264497,18.36784707530,0,63,63,3.34436685482,7.13325721962,884575.00000000000,63,0,2,0
Somaliland,21,198714,13.79958322290,0,37,37,0.01609348108,0.42805471559,3198.00000000000,31,0,15,0
France,22,1071931,74.43965218230,0,63,63,7.41089025320,10.75017142780,7943963.00000000000,63,0,2,5
Suriname,23,170228,11.82138879430,0,62,62,0.14149846089,1.68984797945,24087.00000000000,61,0,53,0
Guyana,24,248072,17.22722208440,0,60,60,0.05458092812,0.84812692875,13540.00000000000,52,0,32,0
South Korea,25,142550,9.89930547636,0,63,63,15.31605050860,16.20423707020,2183303.00000000000,63,4,2,8
North Korea,26,186307,12.93798600760,0,52,52,0.18739499858,1.24594804718,34913.00000000000,50,0,32,0
Morocco,27,797106,55.35458289050,0,63,63,0.80302745181,3.85280621839,640098.00000000000,63,0,54,0
Western Sahara,28,115908,8.04916660227,0,22,22,0.00413258791,0.17606504453,479.00000000000,15,0,11,0
Costa Rica,29,60734,4.21763885515,0,63,63,3.06622320282,6.65228782356,186224.00000000000,62,0,37,0
Nicaragua,30,154340,10.71805546980,0,62,62,0.48520150318,2.95195777171,74886.00000000000,61,0,48,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.13116317080,1.90003639161,52965.00000000000,62,0,50,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02460148616,0.83922034734,67198.00000000000,62,0,39,0
Bhutan,33,53042,3.68347219275,0,22,22,0.13359224765,0.94840071788,7086.00000000000,21,0,22,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.52548067930,5.31324074418,2565257.00000000000,63,0,2,0
Belarus,35,404959,28.12215255280,0,63,63,1.55659955699,4.86783902419,630359.00000000000,62,0,55,0
Namibia,36,1038865,72.14340220060,0,63,63,0.05258431076,0.98471686514,54628.00000000000,63,0,51,0
South Africa,37,1628616,113.09833242900,0,63,63,1.27519010006,5.53500401367,2076795.00000000000,63,0,51,0
Netherlands,38,71480,4.96388884918,0,63,63,19.63729714610,16.41477564950,1403674.00000000000,63,6,2,13
Oman,39,388545,26.98229145080,0,63,63,1.55606171743,5.81904637490,604600.00000000000,63,0,2,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.51805361115,5.05352347810,1060491.00000000000,63,0,2,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.33738769539,2.44724646720,1600160.00000000000,63,0,2,0
Tajikistan,42,211630,14.69652766020,0,61,61,0.79821386382,3.10118765278,168926.00000000000,61,0,2,0
Lithuania,43,132375,9.19270825979,0,63,63,2.32359584514,6.12281261838,307586.00000000000,62,0,63,0
Brazil,44,10182356,707.10804989900,0,63,63,0.66452430066,4.00683349960,6766423.00000000000,63,0,2,0
Uruguay,45,245896,17.07611097450,0,63,63,0.58379558838,3.87499016992,143553.00000000000,62,0,52,0
Mongolia,46,2658249,184.60062352300,0,63,63,0.01977579978,0.58450468320,52569.00000000000,63,0,2,0
Russia,47,41034337,2849.60671331000,0,63,63,0.59262526893,3.41387145015,24317985.00000000000,63,0,2,0
Czechia,48,141429,9.82145825476,0,63,63,9.80270665846,9.45345788714,1386387.00000000000,62,5,63,7
Germany,49,661451,45.93409685470,0,63,63,10.22553598070,10.81742939630,6763691.00000000000,63,4,2,6
Estonia,50,102099,7.09020827661,0,63,63,2.62373774474,6.68148592581,267881.00000000000,62,0,63,0
Latvia,51,136848,9.50333325731,0,62,62,1.45294779609,5.21047911897,198833.00000000000,61,0,62,0
Norway,52,862002,59.86124952110,0,63,63,2.17892533892,6.06658643914,1878238.00000000000,62,0,62,0
Sweden,53,1131243,78.55854103820,0,63,63,2.61762592122,6.56332219970,2961171.00000000000,62,0,53,0
Finland,54,898283,62.38076338980,0,62,62,3.09708076408,7.44030614124,2782055.00000000000,61,0,62,0
Vietnam,55,402394,27.94402755420,0,63,63,1.73255813953,5.22299820100,697171.00000000000,62,0,51,0
Cambodia,56,217016,15.07055543500,0,62,62,0.08408135806,1.36896607756,18247.00000000000,60,0,42,0
Luxembourg,57,4681,0.32506944184,4,61,57,16.70070497760,12.94028227250,78176.00000000000,58,7,56,11
United Arab Emirates,58,90774,6.30374994957,0,63,63,8.21823429616,15.27762585160,746002.00000000000,63,0,2,3
Belgium,59,56126,3.89763885771,0,63,63,23.12596657520,16.24079806080,1297968.00000000000,62,5,3,19
Georgia,60,109182,7.58208327268,0,56,56,0.76783718928,2.93910203271,83834.00000000000,55,0,56,0
Macedonia,61,39477,2.74145831140,0,63,63,3.50345770955,6.67620358844,138306.00000000000,62,0,56,0
Albania,62,43765,3.03923608680,0,63,63,2.20235347881,5.01103536598,96386.00000000000,62,0,63,0
Azerbaijan,63,131531,9.13409714915,0,63,63,1.95829880408,5.47858867646,257577.00000000000,63,0,2,0
Kosovo,64,17241,1.19729165709,0,59,59,4.81149585291,7.00991269728,82955.00000000000,57,0,54,4
Turkey,65,1169384,81.20722157260,0,63,63,1.91407441867,5.14013065604,2238288.00000000000,63,0,63,0
Spain,66,773025,53.68229123720,0,63,63,6.61434882442,11.76084171350,5113057.00000000000,63,0,2,3
Laos,67,281234,19.53013873260,0,62,62,0.07524339162,1.20122879575,21161.00000000000,61,0,41,0
Kyrgyzstan,68,308881,21.45006927280,0,61,61,0.53413450487,2.60555681710,164984.00000000000,60,0,43,0
Armenia,69,45122,3.13347219715,0,62,62,1.53428482780,4.82676139652,69230.00000000000,62,0,2,0
Denmark,70,4443327,308.56437253100,0,62,62,0.14242998546,1.60608865905,632863.00000000000,61,0,55,0
Libya,71,2129936,147.91222103900,0,63,63,0.47994258982,3.28967196815,1022247.00000000000,63,0,2,0
