SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.92162481337,4.23829822156,2031415.00000000000,62,0,3,0
Malaysia,2,384580,26.70694423080,0,63,63,2.66122003224,8.03157075897,1023452.00000000000,61,0,51,0
Chile,3,1105326,76.75874938590,0,63,63,0.62119682338,4.26725800642,686625.00000000000,62,0,3,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.16318638941,2.09085578577,216658.00000000000,62,0,3,0
Peru,5,1532376,106.41499914900,0,63,63,0.33427044015,2.84574717836,512228.00000000000,62,0,3,0
Argentina,6,4013074,278.68569221500,0,63,63,0.66536799471,4.37679177960,2670171.00000000000,62,0,3,0
United Kingdom,7,516487,35.86715249080,0,63,63,13.88620042710,17.97781471040,7172042.00000000000,62,0,3,8
Cyprus,8,7653,0.53145832908,0,63,63,11.57167124000,14.64798385840,88558.00000000000,62,0,3,6
India,9,4012354,278.63569221500,0,63,63,3.49935000750,6.28119172368,14040631.00000000000,62,0,54,0
China,10,13697660,951.22638127900,0,63,63,1.17046488232,4.65169972278,16032630.00000000000,62,0,47,0
Israel,11,38553,2.67729164525,0,63,63,20.07877467380,20.68699843300,774097.00000000000,62,0,3,12
Lebanon,12,14036,0.97472221442,0,63,63,21.32893986890,18.57399205130,299373.00000000000,61,0,60,15
Ethiopia,13,1334965,92.70590203610,0,63,63,0.03508181862,0.83352881459,46833.00000000000,61,0,36,0
South Sudan,14,739530,51.35624958920,0,24,24,0.00186469785,0.13587108969,1379.00000000000,21,0,15,0
Somalia,15,554651,38.51743024740,0,23,23,0.00459387976,0.21569302298,2548.00000000000,21,0,23,0
Kenya,16,685660,47.61527739690,0,62,62,0.16094711665,1.76199978310,110355.00000000000,60,0,54,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.68489047950,6.40699969061,3159120.00000000000,62,0,3,0
Malawi,18,143472,9.96333325363,0,63,63,0.29144362663,2.60127420099,41814.00000000000,61,0,52,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06784707582,1.26970908367,75242.00000000000,61,0,51,0
Syria,20,264497,18.36784707530,0,63,63,4.33472969448,8.69909382526,1146523.00000000000,61,0,56,0
Somaliland,21,198714,13.79958322290,0,26,26,0.01030626931,0.33357147577,2048.00000000000,23,0,13,0
France,22,1071931,74.43965218230,0,63,63,8.63263680218,12.53521006880,9253591.00000000000,62,0,3,6
