SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,1.07487454444,4.26698029972,2369203.00000000000,61,0,48,0
Malaysia,2,384580,26.70694423080,0,63,63,2.72994695512,8.36418324417,1049883.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.70458308228,4.29932048592,778794.00000000000,62,0,3,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.15807368085,1.98209676856,209870.00000000000,62,0,3,0
Peru,5,1532376,106.41499914900,0,63,63,0.33711243194,2.76617712703,516583.00000000000,62,0,3,0
Argentina,6,4013074,278.68569221500,0,63,63,0.69411503501,4.28111986430,2785535.00000000000,62,0,52,0
United Kingdom,7,516487,35.86715249080,0,63,63,13.31854431960,16.85890991680,6878855.00000000000,62,0,3,7
Cyprus,8,7653,0.53145832908,0,63,63,12.12648634520,14.35184229060,92804.00000000000,62,5,3,7
India,9,4012354,278.63569221500,0,63,63,3.76917066640,6.29312761949,15123247.00000000000,62,0,52,4
China,10,13697660,951.22638127900,0,63,63,1.24670257548,4.80302122304,17076908.00000000000,62,0,3,0
Israel,11,38553,2.67729164525,0,63,63,20.10310481670,20.57803898550,775035.00000000000,62,0,3,12
Lebanon,12,14036,0.97472221442,0,63,63,22.07167284130,17.86343474870,309798.00000000000,61,0,57,17
Ethiopia,13,1334965,92.70590203610,0,62,62,0.04141381984,0.84043555552,55286.00000000000,61,0,3,0
South Sudan,14,739530,51.35624958920,0,15,15,0.00272876016,0.13670483503,2018.00000000000,13,0,15,0
Somalia,15,554651,38.51743024740,0,25,25,0.00623094523,0.22825878105,3456.00000000000,20,0,25,0
Kenya,16,685660,47.61527739690,0,61,61,0.14271504828,1.59130276716,97854.00000000000,59,0,46,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.67289774432,6.24336895407,3145009.00000000000,62,0,57,0
Malawi,18,143472,9.96333325363,0,63,63,0.31339216014,2.67407500340,44963.00000000000,61,0,51,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.07276594824,1.23809468630,80697.00000000000,62,0,3,0
Syria,20,264497,18.36784707530,0,63,63,4.31035512690,8.18865754586,1140076.00000000000,62,0,3,0
Somaliland,21,198714,13.79958322290,0,36,36,0.01560030999,0.45997678842,3100.00000000000,32,0,27,0
France,22,1071931,74.43965218230,0,63,63,8.97973190439,12.14393487830,9625653.00000000000,62,0,3,6
Suriname,23,170228,11.82138879430,0,63,63,0.15720680499,1.90872506254,26761.00000000000,61,0,41,0
Guyana,24,248072,17.22722208440,0,62,62,0.07682447032,1.17744265753,19058.00000000000,57,0,45,0
South Korea,25,142550,9.89930547636,0,63,63,18.08482637670,16.49177516370,2577992.00000000000,62,5,3,11
North Korea,26,186307,12.93798600760,0,52,52,0.26207281530,1.51759038452,48826.00000000000,50,0,43,0
Morocco,27,797106,55.35458289050,0,63,63,0.73413949964,3.99440619671,585187.00000000000,62,0,57,0
Western Sahara,28,115908,8.04916660227,0,18,18,0.00359768092,0.15805384342,417.00000000000,12,0,8,0
Costa Rica,29,60734,4.21763885515,0,63,63,4.26599598248,8.10191268453,259091.00000000000,61,0,52,4
Nicaragua,30,154340,10.71805546980,0,63,63,0.66523260334,3.56205219993,102672.00000000000,62,0,50,0
Republic of the Congo,31,403810,28.04236088680,0,62,62,0.07467125628,1.34287085795,30153.00000000000,60,0,39,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02873810023,0.93696347923,78497.00000000000,61,0,40,0
Bhutan,33,53042,3.68347219275,0,21,21,0.12984050375,1.00845552735,6887.00000000000,19,0,20,0
Ukraine,34,1015750,70.53819388010,0,63,63,3.64628894905,6.12977256727,3703718.00000000000,62,0,3,0
Belarus,35,404959,28.12215255280,0,63,63,2.35676451196,5.89996539860,954393.00000000000,61,0,63,0
Namibia,36,1038865,72.14340220060,0,63,63,0.06754198091,1.14932382072,70167.00000000000,62,0,46,0
South Africa,37,1628616,113.09833242900,0,63,63,1.43339498077,6.13438983668,2334450.00000000000,62,0,52,0
Netherlands,38,71480,4.96388884918,0,63,63,24.16362618910,17.63466224930,1727216.00000000000,61,8,4,18
Oman,39,388545,26.98229145080,0,63,63,1.65486365801,6.23692731260,642989.00000000000,62,0,3,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.89102129158,5.81884068428,1321041.00000000000,62,0,3,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.33470530972,2.55151055891,1587438.00000000000,62,0,3,0
Tajikistan,42,211630,14.69652766020,0,62,62,0.79243018476,3.44548534233,167702.00000000000,60,0,62,0
Lithuania,43,132375,9.19270825979,0,63,63,2.43601133144,6.45426928064,322467.00000000000,61,0,63,0
Brazil,44,10182356,707.10804989900,0,63,63,0.71316333862,4.19796418229,7261683.00000000000,62,0,3,0
Uruguay,45,245896,17.07611097450,0,63,63,0.87946530240,4.91118555945,216257.00000000000,61,0,55,0
Mongolia,46,2658249,184.60062352300,0,63,63,0.02143252946,0.63134057668,56973.00000000000,62,0,58,0
Russia,47,41034337,2849.60671331000,0,63,63,0.79466703702,4.03488815758,32608635.00000000000,62,0,3,0
Czechia,48,141429,9.82145825476,0,63,63,13.48927023450,10.60329687070,1907774.00000000000,61,7,4,10
Germany,49,661451,45.93409685470,0,63,63,12.62229099360,12.66010143280,8349027.00000000000,61,0,4,8
Estonia,50,102099,7.09020827661,0,63,63,3.30986591446,7.68839572535,337934.00000000000,61,0,4,0
Latvia,51,136848,9.50333325731,0,63,63,1.82748743131,5.81358375483,250088.00000000000,61,0,51,0
Norway,52,862002,59.86124952110,0,63,63,3.47137361630,8.86134852938,2992331.00000000000,61,0,4,0
Sweden,53,1131243,78.55854103820,0,63,63,4.09716038022,8.88468620920,4634884.00000000000,61,0,4,0
Finland,54,898283,62.38076338980,0,63,63,5.02696477613,10.77202041290,4515637.00000000000,60,0,5,0
Vietnam,55,402394,27.94402755420,0,63,63,1.75488203104,5.03446202937,706154.00000000000,62,0,3,0
Cambodia,56,217016,15.07055543500,0,63,63,0.08714104029,1.34224560757,18911.00000000000,60,0,48,0
Luxembourg,57,4681,0.32506944184,5,63,58,22.60713522750,15.33445770750,105824.00000000000,59,10,5,16
United Arab Emirates,58,90774,6.30374994957,0,63,63,9.11712604931,15.84137551960,827598.00000000000,61,0,35,4
Belgium,59,56126,3.89763885771,0,63,63,30.66288351210,18.19706982730,1720985.00000000000,61,7,4,28
Georgia,60,109182,7.58208327268,0,58,58,0.68264915462,2.94641611192,74533.00000000000,56,0,58,0
