SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.97808650615,4.36686531513,2155866.00000000000,62,0,50,0
Malaysia,2,384580,26.70694423080,0,63,63,2.25945967029,7.52895417085,868943.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.53934766757,3.84044068246,596155.00000000000,62,0,61,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.14996399713,2.00436204426,199103.00000000000,62,0,3,0
Peru,5,1532376,106.41499914900,0,63,63,0.29294768386,2.67488021656,448906.00000000000,62,0,46,0
Argentina,6,4013074,278.68569221500,0,63,63,0.59942677359,4.05927600650,2405544.00000000000,62,0,51,0
United Kingdom,7,516487,35.86715249080,0,63,63,13.99582177290,17.51522126930,7228660.00000000000,62,0,3,8
Cyprus,8,7653,0.53145832908,0,63,63,10.49980399840,14.15995336610,80355.00000000000,62,0,3,6
India,9,4012354,278.63569221500,0,63,63,3.09608349612,5.89173666707,12422583.00000000000,63,0,2,0
China,10,13697660,951.22638127900,0,63,63,1.07890493705,4.48988037848,14778473.00000000000,62,0,53,0
Israel,11,38553,2.67729164525,0,63,63,19.03530205170,20.20153237900,733868.00000000000,62,0,3,11
Lebanon,12,14036,0.97472221442,0,63,63,17.67191507550,16.90090679200,248043.00000000000,62,0,3,12
Ethiopia,13,1334965,92.70590203610,0,63,63,0.03154764357,0.78371432361,42115.00000000000,62,0,3,0
South Sudan,14,739530,51.35624958920,0,18,18,0.00145497816,0.10944617536,1076.00000000000,16,0,17,0
Somalia,15,554651,38.51743024740,0,20,20,0.00430000126,0.19019842520,2385.00000000000,18,0,19,0
Kenya,16,685660,47.61527739690,0,63,63,0.13938540968,1.72351079227,95571.00000000000,61,0,44,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.31063572290,5.92720185402,2718761.00000000000,62,0,52,0
Malawi,18,143472,9.96333325363,0,61,61,0.25045305007,2.34042618473,35933.00000000000,59,0,61,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06270728246,1.17898244023,69542.00000000000,61,0,54,0
Syria,20,264497,18.36784707530,0,63,63,3.82464451393,8.19769653752,1011607.00000000000,62,0,3,0
Somaliland,21,198714,13.79958322290,0,20,20,0.00620992985,0.24084155510,1234.00000000000,17,0,19,0
France,22,1071931,74.43965218230,0,63,63,8.44846263426,12.49891103340,9056169.00000000000,62,0,3,6
Suriname,23,170228,11.82138879430,0,62,62,0.12935592265,1.78085652227,22020.00000000000,60,0,37,0
Guyana,24,248072,17.22722208440,0,60,60,0.07145506143,1.13197146341,17726.00000000000,56,0,40,0
South Korea,25,142550,9.89930547636,0,63,63,17.12225885650,16.54254493310,2440778.00000000000,62,5,3,10
North Korea,26,186307,12.93798600760,0,57,57,0.20994916992,1.44750729021,39115.00000000000,54,0,35,0
Morocco,27,797106,55.35458289050,0,63,63,0.58425980986,3.75088044020,465717.00000000000,62,0,53,0
Western Sahara,28,115908,8.04916660227,0,27,27,0.00389101701,0.22886647400,451.00000000000,19,0,8,0
Costa Rica,29,60734,4.21763885515,0,63,63,3.36603879211,8.10797038996,204433.00000000000,62,0,55,0
Nicaragua,30,154340,10.71805546980,0,63,63,0.43049112349,3.09602623410,66442.00000000000,62,0,41,0
Republic of the Congo,31,403810,28.04236088680,0,61,61,0.04174735643,0.99974269623,16858.00000000000,58,0,48,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02471021918,0.86653918474,67495.00000000000,61,0,46,0
Bhutan,33,53042,3.68347219275,0,22,22,0.06172467102,0.70964729822,3274.00000000000,21,0,3,0
Ukraine,34,1015750,70.53819388010,0,62,62,3.37471720404,6.16714680720,3427869.00000000000,61,0,3,0
Belarus,35,404959,28.12215255280,0,63,63,2.34862047763,5.98668754933,951095.00000000000,61,0,4,0
Namibia,36,1038865,72.14340220060,0,63,63,0.05413792937,1.07641779090,56242.00000000000,63,0,2,0
South Africa,37,1628616,113.09833242900,0,63,63,1.28456922933,5.82989735851,2092070.00000000000,63,0,2,0
Netherlands,38,71480,4.96388884918,0,63,63,24.64548125350,17.30782447910,1761659.00000000000,62,9,3,19
Oman,39,388545,26.98229145080,0,63,63,1.32967095188,5.60390482993,516637.00000000000,62,0,53,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.73520368287,6.00547859233,1212189.00000000000,61,0,51,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.29391752919,2.51623882726,1393990.00000000000,61,0,52,0
Tajikistan,42,211630,14.69652766020,0,58,58,0.67740868497,3.38046893861,143360.00000000000,56,0,58,0
Lithuania,43,132375,9.19270825979,0,61,61,2.07395656280,6.48293406642,274540.00000000000,59,0,4,0
Brazil,44,10182356,707.10804989900,0,63,63,0.71065262303,4.23145542774,7236118.00000000000,62,0,3,0
Uruguay,45,245896,17.07611097450,0,63,63,0.80453118392,4.69181225669,197831.00000000000,62,0,55,0
Mongolia,46,2658249,184.60062352300,0,63,63,0.01775228731,0.57727574677,47190.00000000000,61,0,63,0
Russia,47,41034337,2849.60671331000,0,63,63,0.73298605994,4.05005110725,30077597.00000000000,62,0,3,0
Czechia,48,141429,9.82145825476,0,63,63,11.23959018310,9.80798781949,1589604.00000000000,61,6,4,8
Germany,49,661451,45.93409685470,0,63,63,12.17140801060,12.36582817840,8050790.00000000000,61,0,4,8
Estonia,50,102099,7.09020827661,0,63,63,3.45575372922,8.22662035800,352829.00000000000,60,0,57,0
Latvia,51,136848,9.50333325731,0,63,63,1.70176400094,6.02616370979,232883.00000000000,61,0,4,0
