SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,1.03964037208,4.32509666935,2291541.00000000000,62,0,3,0
Malaysia,2,384580,26.70694423080,0,63,63,2.74758177752,8.80206728732,1056665.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.62802376855,4.19483765917,694171.00000000000,63,0,2,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.15740333456,2.10836970297,208980.00000000000,62,0,47,0
Peru,5,1532376,106.41499914900,0,63,63,0.33048090025,2.77447289902,506421.00000000000,62,0,47,0
Argentina,6,4013074,278.68569221500,0,63,63,0.68456400256,4.35014689955,2747206.00000000000,63,0,2,0
United Kingdom,7,516487,35.86715249080,0,63,63,11.44962990360,15.85533727530,5913585.00000000000,62,0,3,6
Cyprus,8,7653,0.53145832908,0,63,63,12.65595191430,15.15968886190,96856.00000000000,62,0,53,7
India,9,4012354,278.63569221500,0,63,63,3.11993931742,5.90693809794,12518301.00000000000,63,0,2,0
China,10,13697660,951.22638127900,0,63,63,1.56290541596,5.83118659603,21408147.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,19.27045884890,20.18909834530,742934.00000000000,62,0,53,11
Lebanon,12,14036,0.97472221442,0,63,63,17.58485323450,15.37778266710,246821.00000000000,62,0,57,13
Ethiopia,13,1334965,92.70590203610,0,63,63,0.06115366320,1.04819373517,81638.00000000000,62,0,49,0
South Sudan,14,739530,51.35624958920,0,35,35,0.01027138858,0.31262167949,7596.00000000000,29,0,27,0
Somalia,15,554651,38.51743024740,0,19,19,0.00613719258,0.21394233115,3404.00000000000,17,0,19,0
Kenya,16,685660,47.61527739690,0,60,60,0.14191290144,1.52938971909,97304.00000000000,59,0,3,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.77675970931,6.48024196944,3267216.00000000000,62,0,58,0
Malawi,18,143472,9.96333325363,0,62,62,0.29498438720,2.77434888879,42322.00000000000,60,0,48,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06724472810,1.11517395171,74574.00000000000,61,0,46,0
Syria,20,264497,18.36784707530,0,63,63,4.19482262559,8.41483863976,1109518.00000000000,62,0,52,0
Somaliland,21,198714,13.79958322290,0,43,43,0.01787493584,0.49773032887,3552.00000000000,34,0,3,0
France,22,1071931,74.43965218230,0,63,63,8.04143363705,11.43701307300,8619862.00000000000,62,0,52,5
Suriname,23,170228,11.82138879430,0,63,63,0.14635077661,1.84512830329,24913.00000000000,61,0,42,0
Guyana,24,248072,17.22722208440,0,62,62,0.06041391209,0.98688466521,14987.00000000000,56,0,28,0
South Korea,25,142550,9.89930547636,0,63,63,16.87756576640,17.23372419920,2405897.00000000000,62,4,52,9
North Korea,26,186307,12.93798600760,0,54,54,0.17444325763,1.26526192959,32500.00000000000,51,0,37,0
Morocco,27,797106,55.35458289050,0,63,63,0.93169038999,4.27804739795,742656.00000000000,62,0,52,0
Western Sahara,28,115908,8.04916660227,0,28,28,0.00404631259,0.21662416751,469.00000000000,18,0,12,0
Costa Rica,29,60734,4.21763885515,0,63,63,3.43758026805,7.11945326961,208778.00000000000,62,0,47,0
Nicaragua,30,154340,10.71805546980,0,62,62,0.44429830245,2.90378309824,68573.00000000000,61,0,46,0
