SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.75664094418,3.47155870889,1667763.00000000000,63,0,2,0
Malaysia,2,384580,26.70694423080,0,63,63,2.04546258256,7.00644843363,786644.00000000000,63,0,2,0
Chile,3,1105326,76.75874938590,0,63,63,0.50322348339,3.62333614211,556226.00000000000,63,0,53,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.13242126067,1.85318376331,175812.00000000000,63,0,2,0
Peru,5,1532376,106.41499914900,0,63,63,0.26580290999,2.51600848775,407310.00000000000,63,0,2,0
Argentina,6,4013074,278.68569221500,0,63,63,0.55805699073,3.89044136328,2239524.00000000000,63,0,49,0
United Kingdom,7,516487,35.86715249080,0,63,63,12.08634292830,16.51959042340,6242439.00000000000,63,0,2,6
Cyprus,8,7653,0.53145832908,0,63,63,9.90670325363,13.48152030740,75816.00000000000,63,3,2,5
India,9,4012354,278.63569221500,0,63,63,2.67385180869,5.42485660136,10728440.00000000000,63,0,57,0
China,10,13697660,951.22638127900,0,63,63,0.92312161347,4.04369034727,12644606.00000000000,63,0,48,0
Israel,11,38553,2.67729164525,0,63,63,17.06896998940,19.52487385380,658060.00000000000,63,0,2,8
Lebanon,12,14036,0.97472221442,0,63,63,18.86840980340,18.02593432850,264837.00000000000,62,0,52,12
Ethiopia,13,1334965,92.70590203610,0,63,63,0.02966519721,0.71119401724,39602.00000000000,63,0,50,0
South Sudan,14,739530,51.35624958920,0,15,15,0.00229740511,0.12048280846,1699.00000000000,14,0,15,0
Somalia,15,554651,38.51743024740,0,16,16,0.00620029532,0.18902379350,3439.00000000000,15,0,16,0
Kenya,16,685660,47.61527739690,0,62,62,0.12375667240,1.48406917574,84855.00000000000,61,0,41,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.06920193196,5.35845838671,2434683.00000000000,63,0,53,0
Malawi,18,143472,9.96333325363,0,62,62,0.21084950374,2.10823016652,30251.00000000000,61,0,43,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.05606161981,1.06841673736,62172.00000000000,63,0,2,0
Syria,20,264497,18.36784707530,0,63,63,3.44283300000,7.46658469311,910619.00000000000,63,0,2,0
Somaliland,21,198714,13.79958322290,0,25,25,0.00986845416,0.29413352108,1961.00000000000,20,0,14,0
France,22,1071931,74.43965218230,0,63,63,7.18859702723,10.99010314800,7705680.00000000000,63,0,2,5
Suriname,23,170228,11.82138879430,0,61,61,0.11202622365,1.59005219166,19070.00000000000,60,0,28,0
Guyana,24,248072,17.22722208440,0,62,62,0.05957544584,0.98391669563,14779.00000000000,56,0,34,0
South Korea,25,142550,9.89930547636,0,63,63,14.66220975100,15.77245838550,2090098.00000000000,63,4,2,8
North Korea,26,186307,12.93798600760,0,52,52,0.16545808800,1.16808526134,30826.00000000000,48,0,33,0
Morocco,27,797106,55.35458289050,0,63,63,0.52370199196,3.38353886124,417446.00000000000,63,0,47,0
Western Sahara,28,115908,8.04916660227,0,23,23,0.00333022742,0.17249317554,386.00000000000,14,0,10,0
Costa Rica,29,60734,4.21763885515,0,63,63,2.94293147166,6.99918633511,178736.00000000000,63,0,2,0
Nicaragua,30,154340,10.71805546980,0,63,63,0.42157574187,2.85844353588,65066.00000000000,63,0,49,0
Republic of the Congo,31,403810,28.04236088680,0,62,62,0.04307223694,1.01766406006,17393.00000000000,61,0,59,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02091993991,0.78640999358,57142.00000000000,62,0,38,0
Bhutan,33,53042,3.68347219275,0,21,21,0.08282116059,0.75384922318,4393.00000000000,19,0,20,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.45119271474,4.92826751047,2489799.00000000000,62,0,60,0
Belarus,35,404959,28.12215255280,0,63,63,1.47417392872,4.50924025551,596980.00000000000,62,0,59,0
Namibia,36,1038865,72.14340220060,0,63,63,0.04744312302,0.97857704857,49287.00000000000,63,0,57,0
South Africa,37,1628616,113.09833242900,0,63,63,1.18729215481,5.58751856308,1933643.00000000000,63,0,51,0
Netherlands,38,71480,4.96388884918,0,63,63,22.03746502520,17.26597687110,1575238.00000000000,62,8,3,16
Oman,39,388545,26.98229145080,0,63,63,1.11400481283,5.04029192593,432841.00000000000,63,0,51,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.38662526876,4.70602446424,968677.00000000000,63,0,2,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.21730971603,2.01441273365,1030655.00000000000,62,0,63,0
Tajikistan,42,211630,14.69652766020,0,57,57,0.62694797524,2.79324635219,132681.00000000000,56,0,44,0
Lithuania,43,132375,9.19270825979,0,62,62,1.99579225685,5.62245642840,264193.00000000000,61,0,62,0
Brazil,44,10182356,707.10804989900,0,63,63,0.64796369328,4.01107270364,6597797.00000000000,63,0,2,0
Uruguay,45,245896,17.07611097450,0,63,63,0.71461512184,4.41587035631,175721.00000000000,63,0,2,0
Mongolia,46,2658249,184.60062352300,0,62,62,0.01619976157,0.52725140500,43063.00000000000,62,0,44,0
Russia,47,41034337,2849.60671331000,0,63,63,0.53005267272,3.22964057799,21750360.00000000000,63,0,2,0
Czechia,48,141429,9.82145825476,0,63,63,9.13352989839,8.67430859377,1291746.00000000000,62,5,63,6
Germany,49,661451,45.93409685470,0,63,63,11.13311492460,11.65560792170,7364010.00000000000,62,5,3,7
Estonia,50,102099,7.09020827661,0,62,62,2.40430366605,6.65027447470,245477.00000000000,60,0,62,0
Latvia,51,136848,9.50333325731,0,63,63,1.16288144511,4.76832108608,159138.00000000000,62,0,49,0
Norway,52,862002,59.86124952110,0,63,63,2.23720478607,7.77604004627,1928475.00000000000,61,0,4,0
Sweden,53,1131243,78.55854103820,0,63,63,3.70046665482,8.88402955239,4186127.00000000000,61,0,48,0
Finland,54,898283,62.38076338980,0,63,63,4.23350881626,10.38599268760,3802889.00000000000,61,0,4,0
Vietnam,55,402394,27.94402755420,0,63,63,1.12378912210,3.74917557344,452206.00000000000,63,0,53,0
Cambodia,56,217016,15.07055543500,0,61,61,0.05607420651,1.09215372600,12169.00000000000,59,0,39,0
Luxembourg,57,4681,0.32506944184,4,62,58,16.33304849390,12.34742194770,76455.00000000000,59,7,56,11
United Arab Emirates,58,90774,6.30374994957,0,63,63,6.58004494679,13.69520335370,597297.00000000000,63,0,2,0
Belgium,59,56126,3.89763885771,0,63,63,26.62698214730,17.58551501930,1494466.00000000000,61,5,62,23
Georgia,60,109182,7.58208327268,0,57,57,0.41833818761,2.38391607342,45675.00000000000,56,0,48,0
Macedonia,61,39477,2.74145831140,0,62,62,3.13577526154,6.30082042553,123791.00000000000,62,0,2,0
Albania,62,43765,3.03923608680,0,58,58,1.42115845996,3.75334941554,62197.00000000000,56,0,44,0
Azerbaijan,63,131531,9.13409714915,0,63,63,1.83118808494,5.41972115339,240858.00000000000,62,0,63,0
Kosovo,64,17241,1.19729165709,0,58,58,2.32184908068,4.93120151856,40031.00000000000,55,0,46,0
Turkey,65,1169384,81.20722157260,0,63,63,1.89612650763,5.42039952046,2217300.00000000000,63,0,2,0
Spain,66,773025,53.68229123720,0,63,63,5.93944439054,11.04133914810,4591339.00000000000,63,0,2,3
Laos,67,281234,19.53013873260,0,58,58,0.04919035394,0.94571559867,13834.00000000000,53,0,36,0
Kyrgyzstan,68,308881,21.45006927280,0,61,61,0.47485277502,2.40594716236,146673.00000000000,60,0,55,0
Armenia,69,45122,3.13347219715,0,58,58,0.80725588405,3.47334893719,36425.00000000000,57,0,46,0
Denmark,70,4443327,308.56437253100,0,63,63,0.17520857682,1.95132072887,778509.00000000000,62,0,3,0
Libya,71,2129936,147.91222103900,0,63,63,0.34975886599,2.80515620529,744964.00000000000,63,0,2,0
Tunisia,72,220486,15.31152765530,0,63,63,2.04790780367,6.15862500157,451535.00000000000,63,0,56,0
Romania,73,394378,27.38736089200,0,63,63,2.53920604090,4.80476283484,1001407.00000000000,62,0,63,0
Hungary,74,159246,11.05874991150,0,63,63,5.19391381887,7.58463954155,827110.00000000000,62,0,59,4
Slovakia,75,85242,5.91958328598,0,62,62,7.04276061097,7.33617853304,600339.00000000000,61,0,62,6
Poland,76,592479,41.14437467080,0,63,63,6.62944846990,8.83864244769,3927809.00000000000,62,0,56,5
Ireland,77,134412,9.33416659199,0,63,63,5.40669731869,7.86323049371,726725.00000000000,61,0,49,5
Greece,78,196929,13.67562489060,0,63,63,4.71704522950,8.30848639341,928923.00000000000,63,0,2,3
Zambia,79,904324,62.80027727540,0,63,63,0.08338051406,1.46033807033,75403.00000000000,62,0,38,0
Sierra Leone,80,84695,5.88159717517,0,19,19,0.00997697621,0.28823824392,845.00000000000,16,0,12,0
Guinea,81,290510,20.17430539420,0,58,58,0.04560256101,0.98521628152,13248.00000000000,54,0,31,0
Liberia,82,112194,7.79124993767,0,18,18,0.01516123857,0.31444436445,1701.00000000000,17,0,13,0
Central African Republic,83,727873,50.54673570670,0,55,55,0.00662066047,0.36139929980,4819.00000000000,46,0,29,0
Sudan,84,2262248,157.10055429900,0,63,63,0.06192645545,1.16665693829,140093.00000000000,63,0,41,0
Djibouti,85,26109,1.81312498550,0,60,60,0.09456509250,1.55398123072,2469.00000000000,38,0,13,0
Eritrea,86,148570,10.31736102860,0,62,62,0.05011105876,0.97701222716,7445.00000000000,50,0,21,0
Austria,87,144646,10.04486103080,0,63,63,6.26032520775,8.29527399740,905531.00000000000,62,0,63,5
Iraq,88,608348,42.24638855090,0,63,63,1.41131885039,5.56215573507,858573.00000000000,63,0,47,0
Italy,89,477696,33.17333306790,0,63,63,12.72693930870,14.41493808060,6079608.00000000000,63,0,2,7
Switzerland,90,70296,4.88166662761,0,63,63,11.02513656540,12.96366451210,775023.00000000000,62,0,3,7
Iran,91,2247640,156.08610986200,0,63,63,1.84881030770,5.85419491344,4155460.00000000000,63,0,51,0
Liechtenstein,92,237,0.01645833320,0,54,54,21.96202531650,15.12879421710,5205.00000000000,49,5,4,20
Ivory Coast,93,378558,26.28874978970,0,63,63,0.39183427639,2.46273181507,148332.00000000000,63,0,2,0
Republic of Serbia,94,125829,8.73812493010,0,63,63,4.01318456000,6.47034143025,504975.00000000000,62,0,61,4
Mali,95,1536343,106.69048525800,0,62,62,0.01302638799,0.53507696309,20013.00000000000,59,0,47,0
Senegal,96,236749,16.44090264630,0,63,63,0.14740928156,1.83453889659,34899.00000000000,63,0,38,0
Nigeria,97,1077169,74.80340217940,0,63,63,0.94535769225,4.81116900288,1018310.00000000000,63,0,2,0
Benin,98,137743,9.56548603459,0,62,62,0.14583681203,1.57646904244,20088.00000000000,59,0,28,0
Angola,99,1491699,103.59020750500,0,63,63,0.03983980682,0.96668799716,59429.00000000000,63,0,37,0
Croatia,100,90616,6.29277772744,0,63,63,4.70963185309,7.45514072703,426768.00000000000,62,0,61,4
