"","UI","DEI","EWNY","URP","UTS","MP"
"UI",1,0.4346,0.1293,-0.1538,-0.0814,0.0567
"DEI",0.4346,1,0.1872,-0.1282,0.0245,0.0281
"EWNY",0.1293,0.1872,1,-0.2724,-0.053,0.0719
"URP",-0.1538,-0.1282,-0.2724,1,0.0477,-0.4395
"UTS",-0.0814,0.0245,-0.053,0.0477,1,0.0126
"MP",0.0567,0.0281,0.0719,-0.4395,0.0126,1
