"","UI","DEI","EWNY","URP","UTS","MP"
"UI",1,0.5665,0.2506,-0.4518,-0.1352,0.1653
"DEI",0.5665,1,0.2732,-0.3039,-0.008,0.1708
"EWNY",0.2506,0.2732,1,-0.6006,-0.1514,0.216
"URP",-0.4518,-0.3039,-0.6006,1,0.4029,-0.4597
"UTS",-0.1352,-0.008,-0.1514,0.4029,1,-0.0573
"MP",0.1653,0.1708,0.216,-0.4597,-0.0573,1
