"","UI","DEI","EWNY","URP","UTS","MP"
"UI",1,0.2431,-0.1007,0.1377,-0.005,-0.0655
"DEI",0.2431,1,0.0442,-0.0657,0.0218,-0.0287
"EWNY",-0.1007,0.0442,1,-0.133,-0.065,-0.0143
"URP",0.1377,-0.0657,-0.133,1,-0.3149,-0.3863
"UTS",-0.005,0.0218,-0.065,-0.3149,1,0.1117
"MP",-0.0655,-0.0287,-0.0143,-0.3863,0.1117,1
