SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.97670230976,4.24060017988,2152815.00000000000,62,0,54,0
Malaysia,2,384580,26.70694423080,0,63,63,2.96987362837,9.41415347780,1142154.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.70042322356,4.38912549039,774196.00000000000,62,0,52,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.17025515338,2.17567684823,226043.00000000000,62,0,50,0
Peru,5,1532376,106.41499914900,0,63,63,0.35301714462,2.86758155778,540955.00000000000,62,0,42,0
Argentina,6,4013074,278.68569221500,0,63,63,0.75482410741,4.59123104744,3029165.00000000000,63,0,2,0
United Kingdom,7,516487,35.86715249080,0,63,63,11.74852029190,16.13060338770,6067958.00000000000,62,0,3,6
Cyprus,8,7653,0.53145832908,0,63,63,12.71932575460,15.56356747010,97341.00000000000,62,0,46,7
India,9,4012354,278.63569221500,0,63,63,3.62985743531,6.93040628638,14564273.00000000000,63,0,2,0
China,10,13697660,951.22638127900,0,63,63,1.71463279129,6.30135273488,23486457.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,19.72427567250,20.59419703910,760430.00000000000,62,0,48,11
Lebanon,12,14036,0.97472221442,0,63,63,13.33969791960,13.40899877850,187236.00000000000,63,0,2,9
Ethiopia,13,1334965,92.70590203610,0,61,61,0.05469431783,0.99539395122,73015.00000000000,60,0,3,0
South Sudan,14,739530,51.35624958920,0,50,50,0.01633334686,0.51672723058,12079.00000000000,45,0,37,0
Somalia,15,554651,38.51743024740,0,25,25,0.00822679487,0.22686831477,4563.00000000000,21,0,15,0
Kenya,16,685660,47.61527739690,0,62,62,0.14223376017,1.66862465825,97524.00000000000,61,0,41,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.58297900188,6.31105422978,3039208.00000000000,63,0,2,0
Malawi,18,143472,9.96333325363,0,63,63,0.27892550463,2.59969335435,40018.00000000000,61,0,4,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06714193224,1.17364386616,74460.00000000000,60,0,42,0
Syria,20,264497,18.36784707530,0,63,63,3.53193419963,7.51131617055,934186.00000000000,62,0,54,0
Somaliland,21,198714,13.79958322290,0,50,50,0.01821713619,0.56443670663,3620.00000000000,38,0,3,0
France,22,1071931,74.43965218230,0,63,63,8.63585995740,11.94715056110,9257046.00000000000,62,0,53,6
Suriname,23,170228,11.82138879430,0,63,63,0.19425711399,2.15098801769,33068.00000000000,61,0,48,0
Guyana,24,248072,17.22722208440,0,59,59,0.06499322777,1.00150068431,16123.00000000000,54,0,3,0
South Korea,25,142550,9.89930547636,0,63,63,17.59874430020,17.95137935850,2508701.00000000000,62,0,52,10
North Korea,26,186307,12.93798600760,0,53,53,0.14321523078,1.33208135691,26682.00000000000,50,0,40,0
Morocco,27,797106,55.35458289050,0,63,63,0.94797178794,4.67092848667,755634.00000000000,62,0,52,0
