SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.41508969148,3.08542637353,914927.00000000000,63,0,2,0
Malaysia,2,384580,26.70694423080,0,63,63,0.90107909928,5.00047315671,346537.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.28669098528,3.07494559847,316887.00000000000,62,0,3,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.11055064805,1.64519946059,146775.00000000000,62,0,53,0
Peru,5,1532376,106.41499914900,0,63,63,0.15725057036,1.98394944035,240967.00000000000,62,0,51,0
Argentina,6,4013074,278.68569221500,0,63,63,0.35607666343,3.33278311869,1428962.00000000000,62,0,3,0
United Kingdom,7,516487,35.86715249080,0,63,63,12.27368355830,16.47412262160,6339198.00000000000,62,0,3,7
Cyprus,8,7653,0.53145832908,0,63,63,8.00862406899,12.05576046370,61290.00000000000,61,0,40,5
India,9,4012354,278.63569221500,0,63,63,1.98694905783,4.89076255209,7972343.00000000000,63,0,2,0
China,10,13697660,951.22638127900,0,63,63,0.68627546603,3.46206146138,9400368.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,13.35540684250,16.64642836450,514891.00000000000,62,0,3,7
Lebanon,12,14036,0.97472221442,0,63,63,7.71409233400,9.84918206391,108275.00000000000,62,0,3,6
Ethiopia,13,1334965,92.70590203610,0,63,63,0.01822145150,0.62867055265,24325.00000000000,62,0,41,0
South Sudan,14,739530,51.35624958920,0,21,21,0.00098711344,0.12175655261,730.00000000000,15,0,8,0
Somalia,15,554651,38.51743024740,0,16,16,0.00162444492,0.11983884438,901.00000000000,14,0,16,0
Kenya,16,685660,47.61527739690,0,63,63,0.08353557157,1.39291627631,57277.00000000000,61,0,63,0
Pakistan,17,1176629,81.71034656850,0,63,63,1.83089996932,5.31209801526,2154290.00000000000,63,0,2,0
Malawi,18,143472,9.96333325363,0,62,62,0.18563900970,1.92334144017,26634.00000000000,60,0,32,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.03568008483,0.92402474489,39569.00000000000,61,0,49,0
Syria,20,264497,18.36784707530,0,63,63,2.79009213715,7.59487563833,737971.00000000000,62,0,3,0
Somaliland,21,198714,13.79958322290,0,7,7,0.00140402790,0.08655177561,279.00000000000,5,0,7,0
France,22,1071931,74.43965218230,0,63,63,6.08953747956,10.82824331310,6527564.00000000000,62,0,3,0
Suriname,23,170228,11.82138879430,0,62,62,0.08699508894,1.38855211975,14809.00000000000,60,0,49,0
Guyana,24,248072,17.22722208440,0,57,57,0.03464316811,0.74848217482,8594.00000000000,45,0,36,0
South Korea,25,142550,9.89930547636,0,63,63,10.58200631360,12.18847626550,1508465.00000000000,62,5,3,7
North Korea,26,186307,12.93798600760,0,55,55,0.15466407596,1.42927008041,28815.00000000000,53,0,42,0
Morocco,27,797106,55.35458289050,0,63,63,0.42646398346,3.23986024902,339937.00000000000,62,0,56,0
Western Sahara,28,115908,8.04916660227,0,23,23,0.00387376195,0.18934002547,449.00000000000,16,0,6,0
Costa Rica,29,60734,4.21763885515,0,63,63,1.57374781836,6.80373636974,95580.00000000000,62,0,3,0
Nicaragua,30,154340,10.71805546980,0,63,63,0.24881430608,2.43661786139,38402.00000000000,61,0,47,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.04829251381,1.25799023491,19501.00000000000,61,0,42,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.02137903488,0.81754905696,58396.00000000000,61,0,47,0
Bhutan,33,53042,3.68347219275,0,26,26,0.04779231552,0.66781981500,2535.00000000000,23,0,3,0
