Series Name,"Series Code","Country Name","Country Code","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
GDP (constant LCU),"NY.GDP.MKTP.KN","Afghanistan","AFG","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","185470260100","201131671600","203254728600","225968993800","238519622700","271292707800","281090086900","340177046700","368865165200","391416420100","447916367700","465387681000","477909038700","484169840200","495628745500","508493000000"
GDP (constant LCU),"NY.GDP.MKTP.KN","Albania","ALB","236095796800","258760993400","280238155800","317509830500","346403225100","308860543300","336685334200","382141804900","407617748800","439983949000","458601302300","485078605200","512774442700","542109345300","571551372900","605272903900","628036332200","649091942600","673173628800","690340639200","700143252200","707149968000","719697416000","735665717200","760326403300","789533305500"
GDP (constant LCU),"NY.GDP.MKTP.KN","Algeria","DZA","2816860534000","2757706441400","2732887178600","2836736749000","2953042912300","2985526382500","3137788335800","3238197611200","3361886349000","3463025185500","3657277460300","3920669910600","4089322398800","4330911030400","4403864720800","4552401579800","4659844396500","4735904419500","4908014069900","5049947259800","5220371296800","5364852321800","5568133079100","5777687927700","5968351629300","6069813607000"
GDP (constant LCU),"NY.GDP.MKTP.KN","American Samoa","ASM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","737000000","743000000","747000000","744000000","713000000","727000000","708000000","678000000","681000000","683000000","653000000","635000000","641000000","649000000","632000000","NA"
GDP (constant LCU),"NY.GDP.MKTP.KN","Andorra","AND","1177963000","1165812500","1193596000","1226509400","1283538900","1399926000","1444650700","1503868100","1556930000","1627720000","1733050000","1943940000","2092610000","2247400000","2349350000","2350290000","2148400000","2069110000","1958230000","1867240000","1837080000","1843540000","1885530000","1901410000","1937330000","1973620000"
GDP (constant LCU),"NY.GDP.MKTP.KN","Angola","AGO","386092356000","293494214600","297425168800","342038944200","388365963500","416616780800","436160884100","445675689000","459289406600","478607112400","544012060000","568786600000","627021000000","758112450000","902070690000","1111257250000","1264800750000","1295319250000","1340045000000","1391949374300","1464018860800","1564197521500","1637776913300","1686906085200","1673183203800","1685258554800"
GDP (constant LCU),"NY.GDP.MKTP.KN","Antigua and Barbuda","ATG","1728071300","1819314700","1940775700","1856167700","1978764200","2087025000","2185768700","2266814700","2418504100","2298689600","2322230500","2462909100","2604192900","2771184300","3123914700","3413171100","3412142600","2999016200","2783086300","2725222400","2820785300","2817853400","2961618600","3081866800","3246514900","3354852700"
GDP (constant LCU),"NY.GDP.MKTP.KN","Argentina","ARG","388093843700","411018234600","435006083700","422629248800","445986656500","482160842800","500724897600","483773071300","479956106900","458795611600","408812193300","444939093600","485115195200","528055942500","570549404200","621942502600","647176159700","608872876400","670523679400","710781597200","703485989500","720407105300","702306046000","721487146600","708337739100","728623985800"
GDP (constant LCU),"NY.GDP.MKTP.KN","Armenia","ARM","607815204900","554327474200","584261173200","624575184900","661209022500","683168301100","733039587000","757229893400","801906457100","878541782400","994388942100","1134009055500","1252715330100","1426413220600","1614671287600","1836675703900","1963406327500","1685584555200","1722667415400","1803632783900","1933494344400","1997299657800","2069202445500","2135416923800","2139687757600","2300164339400"
GDP (constant LCU),"NY.GDP.MKTP.KN","Aruba","ABW","NA","NA","2724310000","2758230000","2973770000","3172020000","3208640000","3353480000","3341250000","3268930000","3284140000","3531090000","3572640000","3586230000","3670690000","3536540000","3293180000","3107000000","NA","NA","NA","NA","NA","NA","NA","NA"
