SOVEREIGNT,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Indonesia,1,2204167,153.06715155300,0,63,63,0.98093338663,4.25827040488,2162141.00000000000,62,0,56,0
Malaysia,2,384580,26.70694423080,0,63,63,3.18098705081,9.30315028217,1223344.00000000000,62,0,3,0
Chile,3,1105326,76.75874938590,0,63,63,0.68737910806,4.24133634746,759778.00000000000,62,0,46,0
Bolivia,4,1327672,92.19944370680,0,63,63,0.17518031562,2.18696421568,232582.00000000000,62,0,3,0
Peru,5,1532376,106.41499914900,0,63,63,0.36556954690,2.85598778816,560190.00000000000,62,0,53,0
Argentina,6,4013074,278.68569221500,0,63,63,0.76045320869,4.52155105356,3051755.00000000000,62,0,55,0
United Kingdom,7,516487,35.86715249080,0,63,63,11.81393916980,16.16512847020,6101746.00000000000,62,0,3,6
Cyprus,8,7653,0.53145832908,0,63,63,13.17052136420,15.64562672600,100794.00000000000,62,4,48,7
India,9,4012354,278.63569221500,0,63,63,3.80503141049,6.64668399154,15267133.00000000000,63,0,2,3
China,10,13697660,951.22638127900,0,63,63,1.82293851651,6.46805729877,24969992.00000000000,63,0,2,0
Israel,11,38553,2.67729164525,0,63,63,19.56325059010,20.10712627920,754222.00000000000,62,0,47,11
Lebanon,12,14036,0.97472221442,0,63,63,15.54609575380,14.35987901740,218205.00000000000,62,0,52,11
Ethiopia,13,1334965,92.70590203610,0,63,63,0.06602270472,1.08706878351,88138.00000000000,62,0,63,0
South Sudan,14,739530,51.35624958920,0,44,44,0.01802901843,0.46700761651,13333.00000000000,39,0,24,0
Somalia,15,554651,38.51743024740,0,21,21,0.00856935262,0.22546852780,4753.00000000000,18,0,18,0
Kenya,16,685660,47.61527739690,0,61,61,0.14646180323,1.60544409067,100423.00000000000,59,0,61,0
Pakistan,17,1176629,81.71034656850,0,63,63,2.48484866513,6.00581147506,2923745.00000000000,63,0,2,0
Malawi,18,143472,9.96333325363,0,61,61,0.31154510985,2.76663908466,44698.00000000000,59,0,45,0
United Republic of Tanzania,19,1108994,77.01347160610,0,63,63,0.06858828812,1.15517922877,76064.00000000000,61,0,48,0
Syria,20,264497,18.36784707530,0,63,63,3.78023569265,7.66478975036,999861.00000000000,62,0,54,0
Somaliland,21,198714,13.79958322290,0,47,47,0.02125668046,0.56625329320,4224.00000000000,39,0,21,0
France,22,1071931,74.43965218230,0,63,63,8.86312551834,12.08068512990,9500659.00000000000,62,0,53,6
Suriname,23,170228,11.82138879430,0,62,62,0.18048734638,2.00540998623,30724.00000000000,60,0,39,0
Guyana,24,248072,17.22722208440,0,60,60,0.06669031571,1.03730265058,16544.00000000000,56,0,34,0
South Korea,25,142550,9.89930547636,0,63,63,17.99847071200,17.96111425160,2565682.00000000000,62,5,50,10
North Korea,26,186307,12.93798600760,0,54,54,0.16525949106,1.38226527056,30789.00000000000,52,0,47,0
Morocco,27,797106,55.35458289050,0,63,63,1.00086312235,4.55316480822,797794.00000000000,62,0,55,0
Western Sahara,28,115908,8.04916660227,0,27,27,0.01277737516,0.31276128542,1481.00000000000,20,0,11,0
Costa Rica,29,60734,4.21763885515,0,63,63,4.08066321994,7.64362035804,247835.00000000000,62,0,52,4
Nicaragua,30,154340,10.71805546980,0,63,63,0.59580147726,3.24086467344,91956.00000000000,62,0,57,0
Republic of the Congo,31,403810,28.04236088680,0,63,63,0.18553527649,2.44386648054,74921.00000000000,62,0,3,0
Democratic Republic of the Congo,32,2731461,189.68479014900,0,63,63,0.03139016080,0.90575671697,85741.00000000000,62,0,3,0
Bhutan,33,53042,3.68347219275,0,34,34,0.21741261642,1.38107620126,11532.00000000000,29,0,34,0
Ukraine,34,1015750,70.53819388010,0,63,63,2.54333546640,6.00614649151,2583393.00000000000,62,0,63,0
Belarus,35,404959,28.12215255280,0,63,63,1.74172940964,5.58252177269,705329.00000000000,62,0,54,0
Namibia,36,1038865,72.14340220060,0,63,63,0.06074225236,1.09927139897,63103.00000000000,63,0,52,0
South Africa,37,1628616,113.09833242900,0,63,63,1.39951836406,6.00118568428,2279278.00000000000,63,0,2,0
Netherlands,38,71480,4.96388884918,0,63,63,23.47182428650,17.74278988240,1677766.00000000000,62,8,3,17
Oman,39,388545,26.98229145080,0,63,63,1.91840842116,6.77486153958,745388.00000000000,62,0,51,0
Uzbekistan,40,698586,48.51291627860,0,63,63,1.73909153633,5.66315242962,1214905.00000000000,62,0,50,0
Kazakhstan,41,4742793,329.36062236500,0,63,63,0.44751499802,3.00364066531,2122471.00000000000,63,0,2,0
