"","x"
"1",0.3325
"2",0.4305
"3",0.371
"4",0.3655
"5",0.4285
"6",0.374
"7",0.3655
"8",0.527
"9",0.4985
"10",0.361
"11",0.5435
"12",0.4135
"13",0.534
"14",0.4625
"15",0.4545
"16",0.375
"17",0.401
"18",0.463
"19",0.3085
"20",0.543
"21",0.4325
"22",0.3025
"23",0.39
"24",0.475
"25",0.4645
"26",0.399
"27",0.4495
"28",0.4135
"29",0.409
"30",0.4725
"31",0.371
"32",0.4745
"33",0.582
"34",0.6145
"35",0.395
"36",0.508
"37",0.467
"38",0.5455
"39",0.569
"40",0.4935
"41",0.487
"42",0.4965
"43",0.583
"44",0.511
"45",0.6835
"46",0.531
"47",0.4895
"48",0.5065
"49",0.4725
"50",0.522
"51",0.4655
"52",0.4485
"53",0.5605
"54",0.526
"55",0.4965
"56",0.471
"57",0.5895
"58",0.7055
"59",0.659
"60",0.573
"61",0.3615
"62",0.547
"63",0.4385
"64",0.61
"65",0.5335
"66",0.6325
"67",0.4505
"68",0.402
"69",0.77
"70",0.7595
"71",0.6565
"72",0.644
"73",0.602
"74",0.6595
"75",0.5765
"76",0.616
"77",0.6365
"78",0.383
"79",0.6105
"80",0.5345
"81",0.634
"82",0.722
"83",0.5805
"84",0.6635
"85",0.598
"86",0.5055
"87",0.5755
"88",0.5695
"89",0.514
"90",0.5565
"91",0.426
"92",0.468
"93",0.563
"94",0.588
"95",0.599
"96",0.418
"97",0.328
"98",0.533
"99",0.4755
"100",0.5515
