"","x"
"1",-0.1305
"2",-0.092
"3",-0.105
"4",-0.1045
"5",-0.0685
"6",-0.203
"7",-0.1425
"8",-0.061
"9",-0.0915
"10",-0.121
"11",-0.114
"12",-0.01
"13",-0.1445
"14",-0.1495
"15",-0.084
"16",-0.1445
"17",-0.1625
"18",-0.113
"19",-0.1015
"20",-0.031
"21",-0.0715
"22",-0.225
"23",-0.124
"24",-0.1355
"25",-0.096
"26",-0.1035
"27",-0.143
"28",-0.065
"29",-0.184
"30",-0.1025
"31",-0.081
"32",-0.1585
"33",-0.101
"34",-0.053
"35",-0.0865
"36",-0.08
"37",-0.075
"38",-0.0705
"39",-0.061
"40",-0.0775
"41",-0.075
"42",-0.107
"43",-0.127
"44",-0.105
"45",-0.0265
"46",-0.0565
"47",-0.138
"48",-0.164
"49",-0.0975
"50",-0.128
"51",-0.095
"52",-0.216
"53",-0.068
"54",-0.1085
"55",-0.1135
"56",-0.0965
"57",-0.0915
"58",-0.0425
"59",-0.067
"60",-0.147
"61",-0.1955
"62",-0.094
"63",-0.0915
"64",-0.106
"65",-0.1
"66",-0.09
"67",-0.1295
"68",-0.096
"69",-0.0825
"70",-0.0895
"71",-0.058
"72",-0.1395
"73",-0.0845
"74",-0.112
"75",-0.112
"76",-0.1445
"77",-0.0505
"78",-0.127
"79",-0.0685
"80",-0.096
"81",-0.05
"82",-0.1105
"83",-0.207
"84",-0.0325
"85",-0.133
"86",-0.1075
"87",-0.0335
"88",-0.058
"89",-0.089
"90",-0.18
"91",-0.1085
"92",-0.199
"93",-0.1165
"94",-0.075
"95",-0.145
"96",-0.118
"97",-0.1815
"98",-0.098
"99",-0.086
"100",-0.071
