"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0352,0.0107,3.3035,0.0012
"MP",-0.4522,0.6253,-0.7231,0.4707
"DEI",12.9221,13.3654,0.9668,0.3352
"UI",-1.1936,1.6244,-0.7348,0.4637
"URP",-0.2603,0.1548,-1.6813,0.0948
"UTS",-0.3938,0.2707,-1.4547,0.1479
"OG",-0.0951,0.0266,-3.5717,5e-04
