"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.07,0.0187,3.7371,3e-04
"YP",-0.4109,0.1861,-2.208,0.0289
"MP",-0.3352,0.6602,-0.5077,0.6124
"DEI",2.9696,14.7428,0.2014,0.8407
"UI",-0.9466,1.7207,-0.5501,0.5831
"URP",-0.6228,0.2152,-2.8935,0.0044
"UTS",-0.7048,0.311,-2.2661,0.025
