"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0347,0.0111,3.1378,0.0021
"MP",-0.6254,0.6476,-0.9658,0.3357
"DEI",8.8625,13.8325,0.6407,0.5227
"UI",-1.3928,1.6863,-0.8259,0.4102
"URP",-0.2771,0.1607,-1.7239,0.0868
"UTS",-0.3336,0.2806,-1.1888,0.2364
