"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0101,0.0198,-0.5106,0.6108
"MP",-1.5951,0.9591,-1.6631,0.0995
"DEI",37.8176,21.9021,1.7267,0.0874
"UI",0.4592,1.6995,0.2702,0.7876
"URP",-0.1896,0.2193,-0.8645,0.3894
"UTS",0.9455,0.7054,1.3404,0.1832
"CG",4.401,1.7846,2.4662,0.0154
