"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0219,0.0118,1.8548,0.0656
"MP",-0.8242,0.6386,-1.2906,0.1988
"DEI",7.3611,13.561,0.5428,0.5881
"UI",-1.9918,1.6667,-1.1951,0.234
"URP",-0.2393,0.1581,-1.5137,0.1322
"UTS",-0.299,0.2752,-1.0865,0.279
"CG",2.1848,0.8095,2.6992,0.0078
