"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.048,0.0097,4.9508,0
"MP",-0.7967,0.5706,-1.3963,0.1661
"DEI",16.9103,12.7804,1.3231,0.1892
"UI",-1.0379,1.0626,-0.9768,0.3313
"URP",-1.0244,0.181,-5.6601,0
"UTS",0.3907,0.3374,1.158,0.25
