"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6e-04,0.0027,0.2149,0.8301
"EWNY",0.9827,0.0194,50.7857,0
"MP",-0.0071,0.1519,-0.0467,0.9628
"DEI",-0.5099,3.2385,-0.1574,0.8751
"UI",1.0631,0.3971,2.677,0.0083
"URP",-0.0082,0.0379,-0.2152,0.8299
"UTS",0.1155,0.0662,1.7446,0.0831
