"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0013,0.0017,-0.8047,0.423
"EWNY",1.0232,0.0093,110.0308,0
"MP",0.0292,0.0881,0.3309,0.7414
"DEI",-0.621,2.0384,-0.3047,0.7613
"UI",0.1955,0.1538,1.271,0.2067
"URP",0.0424,0.0201,2.1064,0.0377
"UTS",0.0526,0.0656,0.802,0.4245
