"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0585,0.0133,4.3885,0
"YP",-0.2348,0.205,-1.1453,0.2552
"MP",-0.5447,0.6106,-0.8922,0.3747
"DEI",16.4632,12.764,1.2898,0.2005
"UI",-0.8849,1.0691,-0.8278,0.41
"URP",-1.1655,0.2187,-5.3298,0
"UTS",0.3361,0.3401,0.988,0.3259
