"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1e-04,0.0011,0.1012,0.9195
"EWNY",1.0115,0.0087,116.252,0
"MP",0.0043,0.0641,0.067,0.9466
"DEI",0.0072,1.4802,0.0048,0.9961
"UI",0.3961,0.1262,3.1374,0.0018
"URP",0.004,0.0167,0.2399,0.8105
"UTS",0.094,0.0321,2.9271,0.0036
