"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0012,0.0012,0.971,0.3342
"EWNY",1.0432,0.0125,83.6329,0
"MP",0.0253,0.0647,0.3915,0.6964
"DEI",0.3032,1.4464,0.2096,0.8344
"UI",0.1743,0.12,1.4525,0.1499
"URP",0.0175,0.0238,0.7357,0.4639
"UTS",0.0278,0.0381,0.7307,0.4669
