"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0324,0.0219,1.4778,0.1427
"YP",-0.2531,0.1341,-1.8877,0.062
"MP",-0.9376,0.9696,-0.967,0.3359
"DEI",49.0338,21.8491,2.2442,0.0271
"UI",0.8623,1.701,0.5069,0.6134
"URP",-0.6596,0.2921,-2.2577,0.0262
"UTS",0.7534,0.7196,1.047,0.2977
