"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0097,0.0185,0.5217,0.603
"MP",-1.2153,0.9707,-1.2521,0.2135
"DEI",47.2775,22.1101,2.1383,0.035
"UI",1.3365,1.704,0.7843,0.4347
"URP",-0.2924,0.2208,-1.3244,0.1884
"UTS",0.922,0.7232,1.2748,0.2053
