"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0463,0.0113,4.1036,1e-04
"MP",-0.8133,0.5763,-1.4112,0.1617
"DEI",18.074,13.4477,1.344,0.1824
"UI",-1.1506,1.1353,-1.0135,0.3136
"URP",-1.0075,0.1909,-5.2785,0
"UTS",0.3778,0.342,1.1049,0.2722
"CG",0.2581,0.8818,0.2927,0.7704
