"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0238,0.0076,3.141,0.0018
"MP",-0.589,0.4014,-1.4675,0.1432
"DEI",26.2469,9.0941,2.8862,0.0041
"UI",-0.0082,0.8114,-0.0101,0.992
"URP",-0.4127,0.1018,-4.0541,1e-04
"UTS",-0.0169,0.1993,-0.0849,0.9324
"CG",2.019,0.5942,3.3978,8e-04
