"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0108,0.0185,0.582,0.5619
"MP",-0.982,0.9837,-0.9983,0.3206
"DEI",47.1546,22.033,2.1402,0.0348
"UI",0.603,1.7891,0.337,0.7368
"URP",-0.3067,0.2203,-1.3921,0.1671
"UTS",0.8399,0.7234,1.161,0.2485
"OG",0.0724,0.0556,1.302,0.196
