"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0359,0.0068,5.2748,0
"MP",-0.3792,0.4034,-0.94,0.3479
"DEI",24.1346,9.2462,2.6102,0.0094
"UI",0.7025,0.8144,0.8626,0.389
"URP",-0.4728,0.1019,-4.6406,0
"UTS",-0.0656,0.202,-0.3244,0.7458
"OG",0.0037,0.0222,0.1662,0.8681
