"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.036,0.0068,5.2996,0
"MP",-0.3759,0.4023,-0.9344,0.3507
"DEI",24.2433,9.2102,2.6322,0.0089
"UI",0.7324,0.7932,0.9233,0.3565
"URP",-0.4731,0.1017,-4.6508,0
"UTS",-0.066,0.2017,-0.3272,0.7437
