"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0446,0.0098,4.5426,0
"MP",-0.9471,0.5721,-1.6556,0.1014
"DEI",15.9225,12.668,1.2569,0.2121
"UI",-1.4991,1.0877,-1.3781,0.1717
"URP",-0.9777,0.1814,-5.3905,0
"UTS",0.3792,0.3341,1.1351,0.2594
"OG",0.0682,0.0409,1.6687,0.0987
