"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.0556,0.0091,6.0778,0
"YP",-0.2579,0.0813,-3.1716,0.0017
"MP",-0.0398,0.4142,-0.096,0.9236
"DEI",22.561,9.358,2.4109,0.0164
"UI",0.729,0.795,0.9169,0.3598
"URP",-0.7017,0.124,-5.6575,0
"UTS",-0.291,0.2117,-1.3747,0.1701
