"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.03.2017 23:30 - 01.03.2017 23:45","59120","60247"
"01.03.2017 23:45 - 02.03.2017 00:00","58496","59641"
"02.03.2017 00:00 - 02.03.2017 00:15","57874","59295"
"02.03.2017 00:15 - 02.03.2017 00:30","57371","58974"
"02.03.2017 00:30 - 02.03.2017 00:45","57135","59142"
"02.03.2017 00:45 - 02.03.2017 01:00","56854","58950"
"02.03.2017 01:00 - 02.03.2017 01:15","56555","58284"
"02.03.2017 01:15 - 02.03.2017 01:30","56452","58225"
"02.03.2017 01:30 - 02.03.2017 01:45","56566","58146"
"02.03.2017 01:45 - 02.03.2017 02:00","56497","58309"
"02.03.2017 02:00 - 02.03.2017 02:15","56679","58160"
"02.03.2017 02:15 - 02.03.2017 02:30","56653","58396"
"02.03.2017 02:30 - 02.03.2017 02:45","56736","58441"
"02.03.2017 02:45 - 02.03.2017 03:00","56888","58347"
"02.03.2017 03:00 - 02.03.2017 03:15","57526","58919"
"02.03.2017 03:15 - 02.03.2017 03:30","58004","59441"
"02.03.2017 03:30 - 02.03.2017 03:45","58338","60180"
"02.03.2017 03:45 - 02.03.2017 04:00","58880","60778"
"02.03.2017 04:00 - 02.03.2017 04:15","60198","61903"
"02.03.2017 04:15 - 02.03.2017 04:30","61110","62815"
"02.03.2017 04:30 - 02.03.2017 04:45","62145","63789"
"02.03.2017 04:45 - 02.03.2017 05:00","63444","65397"
"02.03.2017 05:00 - 02.03.2017 05:15","66812","67975"
"02.03.2017 05:15 - 02.03.2017 05:30","69272","70243"
"02.03.2017 05:30 - 02.03.2017 05:45","71279","71992"
"02.03.2017 05:45 - 02.03.2017 06:00","72893","73784"
"02.03.2017 06:00 - 02.03.2017 06:15","74673","75198"
"02.03.2017 06:15 - 02.03.2017 06:30","76952","76436"
"02.03.2017 06:30 - 02.03.2017 06:45","77547","77331"
"02.03.2017 06:45 - 02.03.2017 07:00","78198","78442"
"02.03.2017 07:00 - 02.03.2017 07:15","79115","78708"
"02.03.2017 07:15 - 02.03.2017 07:30","79497","79352"
"02.03.2017 07:30 - 02.03.2017 07:45","79735","79899"
"02.03.2017 07:45 - 02.03.2017 08:00","79583","80226"
"02.03.2017 08:00 - 02.03.2017 08:15","79685","80033"
"02.03.2017 08:15 - 02.03.2017 08:30","80229","80258"
"02.03.2017 08:30 - 02.03.2017 08:45","80519","80857"
"02.03.2017 08:45 - 02.03.2017 09:00","81091","81736"
"02.03.2017 09:00 - 02.03.2017 09:15","81236","82167"
"02.03.2017 09:15 - 02.03.2017 09:30","81504","82218"
"02.03.2017 09:30 - 02.03.2017 09:45","81802","82630"
"02.03.2017 09:45 - 02.03.2017 10:00","82336","83125"
"02.03.2017 10:00 - 02.03.2017 10:15","82638","83663"
"02.03.2017 10:15 - 02.03.2017 10:30","82921","84755"
"02.03.2017 10:30 - 02.03.2017 10:45","83205","84329"
"02.03.2017 10:45 - 02.03.2017 11:00","83022","83485"
"02.03.2017 11:00 - 02.03.2017 11:15","82565","83380"
"02.03.2017 11:15 - 02.03.2017 11:30","82294","82631"
"02.03.2017 11:30 - 02.03.2017 11:45","81974","82897"
"02.03.2017 11:45 - 02.03.2017 12:00","82168","83133"
"02.03.2017 12:00 - 02.03.2017 12:15","81421","84088"
"02.03.2017 12:15 - 02.03.2017 12:30","80802","83354"
"02.03.2017 12:30 - 02.03.2017 12:45","80309","82923"
"02.03.2017 12:45 - 02.03.2017 13:00","79390","82529"
"02.03.2017 13:00 - 02.03.2017 13:15","78802","81807"
"02.03.2017 13:15 - 02.03.2017 13:30","78398","81776"
"02.03.2017 13:30 - 02.03.2017 13:45","78404","81539"
"02.03.2017 13:45 - 02.03.2017 14:00","77913","81309"
"02.03.2017 14:00 - 02.03.2017 14:15","77381","81046"
"02.03.2017 14:15 - 02.03.2017 14:30","77562","80311"
"02.03.2017 14:30 - 02.03.2017 14:45","77146","80045"
"02.03.2017 14:45 - 02.03.2017 15:00","76705","79468"
"02.03.2017 15:00 - 02.03.2017 15:15","76661","79083"
"02.03.2017 15:15 - 02.03.2017 15:30","75926","78653"
"02.03.2017 15:30 - 02.03.2017 15:45","75421","78112"
"02.03.2017 15:45 - 02.03.2017 16:00","76210","77830"
"02.03.2017 16:00 - 02.03.2017 16:15","76759","78443"
"02.03.2017 16:15 - 02.03.2017 16:30","76818","78951"
"02.03.2017 16:30 - 02.03.2017 16:45","77273","79285"
"02.03.2017 16:45 - 02.03.2017 17:00","77914","79626"
"02.03.2017 17:00 - 02.03.2017 17:15","78311","79821"
"02.03.2017 17:15 - 02.03.2017 17:30","79199","81351"
"02.03.2017 17:30 - 02.03.2017 17:45","79498","82049"
"02.03.2017 17:45 - 02.03.2017 18:00","79683","81650"
"02.03.2017 18:00 - 02.03.2017 18:15","79171","81322"
"02.03.2017 18:15 - 02.03.2017 18:30","78487","81104"
"02.03.2017 18:30 - 02.03.2017 18:45","77792","80265"
"02.03.2017 18:45 - 02.03.2017 19:00","77547","79179"
"02.03.2017 19:00 - 02.03.2017 19:15","76074","77583"
"02.03.2017 19:15 - 02.03.2017 19:30","74278","76301"
"02.03.2017 19:30 - 02.03.2017 19:45","73043","74780"
"02.03.2017 19:45 - 02.03.2017 20:00","72356","73808"
"02.03.2017 20:00 - 02.03.2017 20:15","71027","72509"
"02.03.2017 20:15 - 02.03.2017 20:30","70094","71212"
"02.03.2017 20:30 - 02.03.2017 20:45","69457","70286"
"02.03.2017 20:45 - 02.03.2017 21:00","69074","69832"
"02.03.2017 21:00 - 02.03.2017 21:15","68919","69927"
"02.03.2017 21:15 - 02.03.2017 21:30","68294","68766"
"02.03.2017 21:30 - 02.03.2017 21:45","67328","67685"
"02.03.2017 21:45 - 02.03.2017 22:00","66019","66448"
"02.03.2017 22:00 - 02.03.2017 22:15","64356","65187"
"02.03.2017 22:15 - 02.03.2017 22:30","63167","63995"
"02.03.2017 22:30 - 02.03.2017 22:45","62071","62883"
"02.03.2017 22:45 - 02.03.2017 23:00","61026","61672"
"02.03.2017 23:00 - 02.03.2017 23:15","59364","61096"
"02.03.2017 23:15 - 02.03.2017 23:30","58695","60123"
"02.03.2017 23:30 - 02.03.2017 23:45","58111","59616"
"02.03.2017 23:45 - 03.03.2017 00:00","57490","59014"
"03.03.2017 00:00 - 03.03.2017 00:15","56847","58435"
"03.03.2017 00:15 - 03.03.2017 00:30","56402","57893"
"03.03.2017 00:30 - 03.03.2017 00:45","56140","57222"
"03.03.2017 00:45 - 03.03.2017 01:00","55846","56870"
"03.03.2017 01:00 - 03.03.2017 01:15","55575","56758"
"03.03.2017 01:15 - 03.03.2017 01:30","55483","56540"
"03.03.2017 01:30 - 03.03.2017 01:45","55542","56326"
"03.03.2017 01:45 - 03.03.2017 02:00","55535","56269"
"03.03.2017 02:00 - 03.03.2017 02:15","55720","56217"
"03.03.2017 02:15 - 03.03.2017 02:30","55714","56636"
"03.03.2017 02:30 - 03.03.2017 02:45","55910","56639"
"03.03.2017 02:45 - 03.03.2017 03:00","55965","56992"
"03.03.2017 03:00 - 03.03.2017 03:15","56732","57514"
"03.03.2017 03:15 - 03.03.2017 03:30","57211","57409"
"03.03.2017 03:30 - 03.03.2017 03:45","57733","57822"
"03.03.2017 03:45 - 03.03.2017 04:00","58263","58419"
"03.03.2017 04:00 - 03.03.2017 04:15","59512","59896"
"03.03.2017 04:15 - 03.03.2017 04:30","60315","60253"
"03.03.2017 04:30 - 03.03.2017 04:45","61409","61015"
"03.03.2017 04:45 - 03.03.2017 05:00","62710","62613"
"03.03.2017 05:00 - 03.03.2017 05:15","65766","66244"
"03.03.2017 05:15 - 03.03.2017 05:30","68134","68887"
"03.03.2017 05:30 - 03.03.2017 05:45","69917","70775"
"03.03.2017 05:45 - 03.03.2017 06:00","71733","72120"
"03.03.2017 06:00 - 03.03.2017 06:15","73829","73314"
"03.03.2017 06:15 - 03.03.2017 06:30","74042","74187"
"03.03.2017 06:30 - 03.03.2017 06:45","75114","75407"
"03.03.2017 06:45 - 03.03.2017 07:00","75710","76234"
"03.03.2017 07:00 - 03.03.2017 07:15","76941","76860"
"03.03.2017 07:15 - 03.03.2017 07:30","77212","77510"
"03.03.2017 07:30 - 03.03.2017 07:45","77608","77770"
"03.03.2017 07:45 - 03.03.2017 08:00","77959","77859"
"03.03.2017 08:00 - 03.03.2017 08:15","77783","77171"
"03.03.2017 08:15 - 03.03.2017 08:30","78034","77295"
"03.03.2017 08:30 - 03.03.2017 08:45","78563","77446"
"03.03.2017 08:45 - 03.03.2017 09:00","78985","77597"
"03.03.2017 09:00 - 03.03.2017 09:15","79164","77782"
"03.03.2017 09:15 - 03.03.2017 09:30","79239","77864"
"03.03.2017 09:30 - 03.03.2017 09:45","79581","77608"
"03.03.2017 09:45 - 03.03.2017 10:00","80054","77672"
"03.03.2017 10:00 - 03.03.2017 10:15","80196","77573"
"03.03.2017 10:15 - 03.03.2017 10:30","80553","77583"
"03.03.2017 10:30 - 03.03.2017 10:45","80718","78008"
"03.03.2017 10:45 - 03.03.2017 11:00","80948","77422"
"03.03.2017 11:00 - 03.03.2017 11:15","80343","77439"
"03.03.2017 11:15 - 03.03.2017 11:30","80352","77326"
"03.03.2017 11:30 - 03.03.2017 11:45","79792","77098"
"03.03.2017 11:45 - 03.03.2017 12:00","79834","76915"
"03.03.2017 12:00 - 03.03.2017 12:15","79232","76514"
"03.03.2017 12:15 - 03.03.2017 12:30","78600","76119"
"03.03.2017 12:30 - 03.03.2017 12:45","78151","76054"
"03.03.2017 12:45 - 03.03.2017 13:00","77080","75153"
"03.03.2017 13:00 - 03.03.2017 13:15","76757","74609"
"03.03.2017 13:15 - 03.03.2017 13:30","76228","74665"
"03.03.2017 13:30 - 03.03.2017 13:45","76543","74491"
"03.03.2017 13:45 - 03.03.2017 14:00","76020","74053"
"03.03.2017 14:00 - 03.03.2017 14:15","75158","73754"
"03.03.2017 14:15 - 03.03.2017 14:30","75749","73241"
"03.03.2017 14:30 - 03.03.2017 14:45","75066","72737"
"03.03.2017 14:45 - 03.03.2017 15:00","74897","72725"
"03.03.2017 15:00 - 03.03.2017 15:15","74760","72134"
"03.03.2017 15:15 - 03.03.2017 15:30","74111","72006"
"03.03.2017 15:30 - 03.03.2017 15:45","73450","71589"
"03.03.2017 15:45 - 03.03.2017 16:00","74672","71690"
"03.03.2017 16:00 - 03.03.2017 16:15","75389","71602"
"03.03.2017 16:15 - 03.03.2017 16:30","75232","71724"
"03.03.2017 16:30 - 03.03.2017 16:45","75512","72296"
"03.03.2017 16:45 - 03.03.2017 17:00","75990","73583"
"03.03.2017 17:00 - 03.03.2017 17:15","76135","74669"
"03.03.2017 17:15 - 03.03.2017 17:30","77296","75668"
"03.03.2017 17:30 - 03.03.2017 17:45","77837","76889"
"03.03.2017 17:45 - 03.03.2017 18:00","77902","76758"
"03.03.2017 18:00 - 03.03.2017 18:15","77452","76347"
"03.03.2017 18:15 - 03.03.2017 18:30","77023","75471"
"03.03.2017 18:30 - 03.03.2017 18:45","76527","74677"
"03.03.2017 18:45 - 03.03.2017 19:00","75888","73996"
"03.03.2017 19:00 - 03.03.2017 19:15","74202","72618"
"03.03.2017 19:15 - 03.03.2017 19:30","72898","71084"
"03.03.2017 19:30 - 03.03.2017 19:45","71417","69812"
"03.03.2017 19:45 - 03.03.2017 20:00","70594","68377"
"03.03.2017 20:00 - 03.03.2017 20:15","69001","67573"
"03.03.2017 20:15 - 03.03.2017 20:30","68311","66813"
"03.03.2017 20:30 - 03.03.2017 20:45","67865","65810"
"03.03.2017 20:45 - 03.03.2017 21:00","67231","64882"
"03.03.2017 21:00 - 03.03.2017 21:15","67170","64870"
"03.03.2017 21:15 - 03.03.2017 21:30","66441","63897"
"03.03.2017 21:30 - 03.03.2017 21:45","65414","62588"
"03.03.2017 21:45 - 03.03.2017 22:00","64120","61722"
"03.03.2017 22:00 - 03.03.2017 22:15","62611","60475"
"03.03.2017 22:15 - 03.03.2017 22:30","61379","59201"
"03.03.2017 22:30 - 03.03.2017 22:45","60442","58238"
"03.03.2017 22:45 - 03.03.2017 23:00","59366","57689"
"03.03.2017 23:00 - 03.03.2017 23:15","59463","56144"
"03.03.2017 23:15 - 03.03.2017 23:30","58811","55232"
"03.03.2017 23:30 - 03.03.2017 23:45","58184","54558"
"03.03.2017 23:45 - 04.03.2017 00:00","57562","53967"
"04.03.2017 00:00 - 04.03.2017 00:15","56884","53387"
"04.03.2017 00:15 - 04.03.2017 00:30","56408","52734"
"04.03.2017 00:30 - 04.03.2017 00:45","56036","52225"
"04.03.2017 00:45 - 04.03.2017 01:00","55747","51706"
"04.03.2017 01:00 - 04.03.2017 01:15","55422","51680"
"04.03.2017 01:15 - 04.03.2017 01:30","55210","51543"
"04.03.2017 01:30 - 04.03.2017 01:45","55197","51379"
"04.03.2017 01:45 - 04.03.2017 02:00","55086","51343"
"04.03.2017 02:00 - 04.03.2017 02:15","55041","51101"
"04.03.2017 02:15 - 04.03.2017 02:30","54965","50982"
"04.03.2017 02:30 - 04.03.2017 02:45","54950","51106"
"04.03.2017 02:45 - 04.03.2017 03:00","54907","51072"
"04.03.2017 03:00 - 04.03.2017 03:15","55211","51280"
"04.03.2017 03:15 - 04.03.2017 03:30","55263","50657"
"04.03.2017 03:30 - 04.03.2017 03:45","55344","51003"
"04.03.2017 03:45 - 04.03.2017 04:00","55359","51523"
"04.03.2017 04:00 - 04.03.2017 04:15","55747","51858"
"04.03.2017 04:15 - 04.03.2017 04:30","55611","52106"
"04.03.2017 04:30 - 04.03.2017 04:45","55768","51873"
"04.03.2017 04:45 - 04.03.2017 05:00","55857","52223"
"04.03.2017 05:00 - 04.03.2017 05:15","56335","52742"
"04.03.2017 05:15 - 04.03.2017 05:30","56938","53074"
"04.03.2017 05:30 - 04.03.2017 05:45","57605","53616"
"04.03.2017 05:45 - 04.03.2017 06:00","58485","53980"
"04.03.2017 06:00 - 04.03.2017 06:15","59048","55140"
"04.03.2017 06:15 - 04.03.2017 06:30","59883","56349"
"04.03.2017 06:30 - 04.03.2017 06:45","61301","57522"
"04.03.2017 06:45 - 04.03.2017 07:00","62044","58444"
"04.03.2017 07:00 - 04.03.2017 07:15","63086","59492"
"04.03.2017 07:15 - 04.03.2017 07:30","64053","60287"
"04.03.2017 07:30 - 04.03.2017 07:45","64916","61523"
"04.03.2017 07:45 - 04.03.2017 08:00","65721","62530"
"04.03.2017 08:00 - 04.03.2017 08:15","66823","63409"
"04.03.2017 08:15 - 04.03.2017 08:30","67628","64064"
"04.03.2017 08:30 - 04.03.2017 08:45","68257","64550"
"04.03.2017 08:45 - 04.03.2017 09:00","68599","65068"
"04.03.2017 09:00 - 04.03.2017 09:15","69032","65386"
"04.03.2017 09:15 - 04.03.2017 09:30","69114","65355"
"04.03.2017 09:30 - 04.03.2017 09:45","69444","65233"
"04.03.2017 09:45 - 04.03.2017 10:00","69744","65310"
"04.03.2017 10:00 - 04.03.2017 10:15","69872","65215"
"04.03.2017 10:15 - 04.03.2017 10:30","70356","65111"
"04.03.2017 10:30 - 04.03.2017 10:45","70627","65346"
"04.03.2017 10:45 - 04.03.2017 11:00","70295","65039"
"04.03.2017 11:00 - 04.03.2017 11:15","70005","64538"
"04.03.2017 11:15 - 04.03.2017 11:30","70131","63828"
"04.03.2017 11:30 - 04.03.2017 11:45","69696","63316"
"04.03.2017 11:45 - 04.03.2017 12:00","69496","62293"
"04.03.2017 12:00 - 04.03.2017 12:15","68783","62118"
"04.03.2017 12:15 - 04.03.2017 12:30","68320","61525"
"04.03.2017 12:30 - 04.03.2017 12:45","67715","60919"
"04.03.2017 12:45 - 04.03.2017 13:00","66379","60398"
"04.03.2017 13:00 - 04.03.2017 13:15","65950","60043"
"04.03.2017 13:15 - 04.03.2017 13:30","65069","59616"
"04.03.2017 13:30 - 04.03.2017 13:45","64981","59029"
"04.03.2017 13:45 - 04.03.2017 14:00","64742","58454"
"04.03.2017 14:00 - 04.03.2017 14:15","64936","58624"
"04.03.2017 14:15 - 04.03.2017 14:30","64157","58327"
"04.03.2017 14:30 - 04.03.2017 14:45","63945","58261"
"04.03.2017 14:45 - 04.03.2017 15:00","63675","58013"
"04.03.2017 15:00 - 04.03.2017 15:15","64150","58339"
"04.03.2017 15:15 - 04.03.2017 15:30","64299","57904"
"04.03.2017 15:30 - 04.03.2017 15:45","64583","57962"
"04.03.2017 15:45 - 04.03.2017 16:00","64253","58491"
"04.03.2017 16:00 - 04.03.2017 16:15","64816","59260"
"04.03.2017 16:15 - 04.03.2017 16:30","65285","59497"
"04.03.2017 16:30 - 04.03.2017 16:45","66101","60350"
"04.03.2017 16:45 - 04.03.2017 17:00","66805","61313"
"04.03.2017 17:00 - 04.03.2017 17:15","67622","62999"
"04.03.2017 17:15 - 04.03.2017 17:30","68796","64345"
"04.03.2017 17:30 - 04.03.2017 17:45","69329","65411"
"04.03.2017 17:45 - 04.03.2017 18:00","69740","65385"
"04.03.2017 18:00 - 04.03.2017 18:15","69764","65102"
"04.03.2017 18:15 - 04.03.2017 18:30","69302","64767"
"04.03.2017 18:30 - 04.03.2017 18:45","68912","64252"
"04.03.2017 18:45 - 04.03.2017 19:00","68083","63484"
"04.03.2017 19:00 - 04.03.2017 19:15","66758","62538"
"04.03.2017 19:15 - 04.03.2017 19:30","65602","61199"
"04.03.2017 19:30 - 04.03.2017 19:45","64281","59913"
"04.03.2017 19:45 - 04.03.2017 20:00","63585","58653"
"04.03.2017 20:00 - 04.03.2017 20:15","62589","57915"
"04.03.2017 20:15 - 04.03.2017 20:30","61916","57481"
"04.03.2017 20:30 - 04.03.2017 20:45","61968","57017"
"04.03.2017 20:45 - 04.03.2017 21:00","61723","56867"
"04.03.2017 21:00 - 04.03.2017 21:15","61877","57817"
"04.03.2017 21:15 - 04.03.2017 21:30","61399","57019"
"04.03.2017 21:30 - 04.03.2017 21:45","60646","56275"
"04.03.2017 21:45 - 04.03.2017 22:00","59496","55221"
"04.03.2017 22:00 - 04.03.2017 22:15","58320","54422"
"04.03.2017 22:15 - 04.03.2017 22:30","57333","53318"
"04.03.2017 22:30 - 04.03.2017 22:45","56452","52161"
"04.03.2017 22:45 - 04.03.2017 23:00","55580","51593"
"04.03.2017 23:00 - 04.03.2017 23:15","53790","50706"
"04.03.2017 23:15 - 04.03.2017 23:30","53143","49916"
"04.03.2017 23:30 - 04.03.2017 23:45","52701","49347"
"04.03.2017 23:45 - 05.03.2017 00:00","52060","48651"
"05.03.2017 00:00 - 05.03.2017 00:15","51293","47887"
"05.03.2017 00:15 - 05.03.2017 00:30","50862","47072"
"05.03.2017 00:30 - 05.03.2017 00:45","50539","47883"
"05.03.2017 00:45 - 05.03.2017 01:00","50296","47919"
"05.03.2017 01:00 - 05.03.2017 01:15","50005","47207"
"05.03.2017 01:15 - 05.03.2017 01:30","49737","47339"
"05.03.2017 01:30 - 05.03.2017 01:45","49701","47179"
"05.03.2017 01:45 - 05.03.2017 02:00","49625","46624"
"05.03.2017 02:00 - 05.03.2017 02:15","49559","46681"
"05.03.2017 02:15 - 05.03.2017 02:30","49479","46433"
"05.03.2017 02:30 - 05.03.2017 02:45","49472","46692"
"05.03.2017 02:45 - 05.03.2017 03:00","49328","46831"
"05.03.2017 03:00 - 05.03.2017 03:15","49569","46845"
"05.03.2017 03:15 - 05.03.2017 03:30","49503","47296"
"05.03.2017 03:30 - 05.03.2017 03:45","49690","47673"
"05.03.2017 03:45 - 05.03.2017 04:00","49654","47708"
"05.03.2017 04:00 - 05.03.2017 04:15","49775","47706"
"05.03.2017 04:15 - 05.03.2017 04:30","49630","47505"
"05.03.2017 04:30 - 05.03.2017 04:45","49681","47378"
"05.03.2017 04:45 - 05.03.2017 05:00","49531","47285"
"05.03.2017 05:00 - 05.03.2017 05:15","49278","46802"
"05.03.2017 05:15 - 05.03.2017 05:30","49811","47047"
"05.03.2017 05:30 - 05.03.2017 05:45","50149","47194"
"05.03.2017 05:45 - 05.03.2017 06:00","50439","47273"
"05.03.2017 06:00 - 05.03.2017 06:15","50876","47598"
"05.03.2017 06:15 - 05.03.2017 06:30","51345","48654"
"05.03.2017 06:30 - 05.03.2017 06:45","51699","50128"
"05.03.2017 06:45 - 05.03.2017 07:00","52489","51538"
"05.03.2017 07:00 - 05.03.2017 07:15","53696","53126"
"05.03.2017 07:15 - 05.03.2017 07:30","54620","53623"
"05.03.2017 07:30 - 05.03.2017 07:45","55647","54841"
"05.03.2017 07:45 - 05.03.2017 08:00","56620","55428"
"05.03.2017 08:00 - 05.03.2017 08:15","58024","56520"
"05.03.2017 08:15 - 05.03.2017 08:30","58920","57056"
"05.03.2017 08:30 - 05.03.2017 08:45","59483","57436"
"05.03.2017 08:45 - 05.03.2017 09:00","59913","58294"
"05.03.2017 09:00 - 05.03.2017 09:15","60834","59244"
"05.03.2017 09:15 - 05.03.2017 09:30","61439","59979"
"05.03.2017 09:30 - 05.03.2017 09:45","61906","60572"
"05.03.2017 09:45 - 05.03.2017 10:00","62514","61440"
"05.03.2017 10:00 - 05.03.2017 10:15","63334","62405"
"05.03.2017 10:15 - 05.03.2017 10:30","63790","63231"
"05.03.2017 10:30 - 05.03.2017 10:45","64265","64373"
"05.03.2017 10:45 - 05.03.2017 11:00","64052","64955"
"05.03.2017 11:00 - 05.03.2017 11:15","63449","64314"
"05.03.2017 11:15 - 05.03.2017 11:30","63801","63548"
"05.03.2017 11:30 - 05.03.2017 11:45","63104","63181"
"05.03.2017 11:45 - 05.03.2017 12:00","62581","62498"
"05.03.2017 12:00 - 05.03.2017 12:15","62002","61514"
"05.03.2017 12:15 - 05.03.2017 12:30","61115","60282"
"05.03.2017 12:30 - 05.03.2017 12:45","60588","59726"
"05.03.2017 12:45 - 05.03.2017 13:00","59539","59558"
"05.03.2017 13:00 - 05.03.2017 13:15","58799","59276"
"05.03.2017 13:15 - 05.03.2017 13:30","57872","59143"
"05.03.2017 13:30 - 05.03.2017 13:45","57936","58311"
"05.03.2017 13:45 - 05.03.2017 14:00","57441","58056"
"05.03.2017 14:00 - 05.03.2017 14:15","57954","58005"
"05.03.2017 14:15 - 05.03.2017 14:30","57115","57692"
"05.03.2017 14:30 - 05.03.2017 14:45","56874","57257"
"05.03.2017 14:45 - 05.03.2017 15:00","56608","57473"
"05.03.2017 15:00 - 05.03.2017 15:15","57438","57383"
"05.03.2017 15:15 - 05.03.2017 15:30","57463","57350"
"05.03.2017 15:30 - 05.03.2017 15:45","57869","57444"
"05.03.2017 15:45 - 05.03.2017 16:00","57314","57499"
"05.03.2017 16:00 - 05.03.2017 16:15","58015","58120"
"05.03.2017 16:15 - 05.03.2017 16:30","58904","58130"
"05.03.2017 16:30 - 05.03.2017 16:45","60443","59136"
"05.03.2017 16:45 - 05.03.2017 17:00","60889","60157"
"05.03.2017 17:00 - 05.03.2017 17:15","61994","61877"
"05.03.2017 17:15 - 05.03.2017 17:30","63739","63121"
"05.03.2017 17:30 - 05.03.2017 17:45","64196","63856"
"05.03.2017 17:45 - 05.03.2017 18:00","64751","64345"
"05.03.2017 18:00 - 05.03.2017 18:15","65202","64366"
"05.03.2017 18:15 - 05.03.2017 18:30","64990","63781"
"05.03.2017 18:30 - 05.03.2017 18:45","64909","63208"
"05.03.2017 18:45 - 05.03.2017 19:00","64043","62686"
"05.03.2017 19:00 - 05.03.2017 19:15","63389","62400"
"05.03.2017 19:15 - 05.03.2017 19:30","62641","61110"
"05.03.2017 19:30 - 05.03.2017 19:45","61360","59952"
"05.03.2017 19:45 - 05.03.2017 20:00","60934","59326"
"05.03.2017 20:00 - 05.03.2017 20:15","59804","58747"
"05.03.2017 20:15 - 05.03.2017 20:30","59469","58385"
"05.03.2017 20:30 - 05.03.2017 20:45","59789","57832"
"05.03.2017 20:45 - 05.03.2017 21:00","59617","57704"
"05.03.2017 21:00 - 05.03.2017 21:15","60201","58937"
"05.03.2017 21:15 - 05.03.2017 21:30","59916","58564"
"05.03.2017 21:30 - 05.03.2017 21:45","59222","57896"
"05.03.2017 21:45 - 05.03.2017 22:00","58109","56725"
"05.03.2017 22:00 - 05.03.2017 22:15","56867","55829"
"05.03.2017 22:15 - 05.03.2017 22:30","55985","54896"
"05.03.2017 22:30 - 05.03.2017 22:45","55045","54183"
"05.03.2017 22:45 - 05.03.2017 23:00","54496","53206"
"05.03.2017 23:00 - 05.03.2017 23:15","53782","52293"
"05.03.2017 23:15 - 05.03.2017 23:30","53396","51583"
"05.03.2017 23:30 - 05.03.2017 23:45","52913","51228"
"05.03.2017 23:45 - 06.03.2017 00:00","52418","50423"
"06.03.2017 00:00 - 06.03.2017 00:15","51802","50181"
"06.03.2017 00:15 - 06.03.2017 00:30","51512","49922"
"06.03.2017 00:30 - 06.03.2017 00:45","51307","49441"
"06.03.2017 00:45 - 06.03.2017 01:00","51167","41433"
"06.03.2017 01:00 - 06.03.2017 01:15","51002","49199"
"06.03.2017 01:15 - 06.03.2017 01:30","50900","49041"
"06.03.2017 01:30 - 06.03.2017 01:45","50929","48863"
"06.03.2017 01:45 - 06.03.2017 02:00","50913","48994"
"06.03.2017 02:00 - 06.03.2017 02:15","51048","48929"
"06.03.2017 02:15 - 06.03.2017 02:30","50942","48903"
"06.03.2017 02:30 - 06.03.2017 02:45","51136","49039"
"06.03.2017 02:45 - 06.03.2017 03:00","51351","49262"
"06.03.2017 03:00 - 06.03.2017 03:15","52223","50544"
"06.03.2017 03:15 - 06.03.2017 03:30","52667","51082"
"06.03.2017 03:30 - 06.03.2017 03:45","53215","52050"
"06.03.2017 03:45 - 06.03.2017 04:00","53716","52630"
"06.03.2017 04:00 - 06.03.2017 04:15","55584","54057"
"06.03.2017 04:15 - 06.03.2017 04:30","56389","55104"
"06.03.2017 04:30 - 06.03.2017 04:45","57840","56400"
"06.03.2017 04:45 - 06.03.2017 05:00","59427","58298"
"06.03.2017 05:00 - 06.03.2017 05:15","62895","62081"
"06.03.2017 05:15 - 06.03.2017 05:30","65485","65438"
"06.03.2017 05:30 - 06.03.2017 05:45","67432","67775"
"06.03.2017 05:45 - 06.03.2017 06:00","69092","69290"
"06.03.2017 06:00 - 06.03.2017 06:15","71166","71113"
"06.03.2017 06:15 - 06.03.2017 06:30","72282","72431"
"06.03.2017 06:30 - 06.03.2017 06:45","73309","73417"
"06.03.2017 06:45 - 06.03.2017 07:00","74099","74576"
"06.03.2017 07:00 - 06.03.2017 07:15","74950","75478"
"06.03.2017 07:15 - 06.03.2017 07:30","75007","76068"
"06.03.2017 07:30 - 06.03.2017 07:45","75410","76386"
"06.03.2017 07:45 - 06.03.2017 08:00","75749","76839"
"06.03.2017 08:00 - 06.03.2017 08:15","76139","76812"
"06.03.2017 08:15 - 06.03.2017 08:30","76452","76964"
"06.03.2017 08:30 - 06.03.2017 08:45","76961","77422"
"06.03.2017 08:45 - 06.03.2017 09:00","77337","77676"
"06.03.2017 09:00 - 06.03.2017 09:15","77469","78465"
"06.03.2017 09:15 - 06.03.2017 09:30","77498","78700"
"06.03.2017 09:30 - 06.03.2017 09:45","77970","79079"
"06.03.2017 09:45 - 06.03.2017 10:00","78471","79428"
"06.03.2017 10:00 - 06.03.2017 10:15","78792","79972"
"06.03.2017 10:15 - 06.03.2017 10:30","79188","80107"
"06.03.2017 10:30 - 06.03.2017 10:45","79514","80183"
"06.03.2017 10:45 - 06.03.2017 11:00","79796","80126"
"06.03.2017 11:00 - 06.03.2017 11:15","79041","79800"
"06.03.2017 11:15 - 06.03.2017 11:30","78905","79815"
"06.03.2017 11:30 - 06.03.2017 11:45","78702","79101"
"06.03.2017 11:45 - 06.03.2017 12:00","78772","79250"
"06.03.2017 12:00 - 06.03.2017 12:15","78538","79855"
