"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2017 00:15 - 02.01.2017 00:30","46613","42626"
"02.01.2017 00:30 - 02.01.2017 00:45","46545","42471"
"02.01.2017 00:45 - 02.01.2017 01:00","46188","42332"
"02.01.2017 01:00 - 02.01.2017 01:15","46353","42375"
"02.01.2017 01:15 - 02.01.2017 01:30","46232","42375"
"02.01.2017 01:30 - 02.01.2017 01:45","46020","42041"
"02.01.2017 01:45 - 02.01.2017 02:00","45924","41979"
"02.01.2017 02:00 - 02.01.2017 02:15","46196","42002"
"02.01.2017 02:15 - 02.01.2017 02:30","46330","41826"
"02.01.2017 02:30 - 02.01.2017 02:45","46191","42391"
"02.01.2017 02:45 - 02.01.2017 03:00","46350","42471"
"02.01.2017 03:00 - 02.01.2017 03:15","46979","42735"
"02.01.2017 03:15 - 02.01.2017 03:30","47639","43412"
"02.01.2017 03:30 - 02.01.2017 03:45","47748","43781"
"02.01.2017 03:45 - 02.01.2017 04:00","48326","44197"
"02.01.2017 04:00 - 02.01.2017 04:15","49695","45360"
"02.01.2017 04:15 - 02.01.2017 04:30","50375","46109"
"02.01.2017 04:30 - 02.01.2017 04:45","51378","47246"
"02.01.2017 04:45 - 02.01.2017 05:00","52802","48697"
"02.01.2017 05:00 - 02.01.2017 05:15","56147","50941"
"02.01.2017 05:15 - 02.01.2017 05:30","58418","53260"
"02.01.2017 05:30 - 02.01.2017 05:45","59966","55087"
"02.01.2017 05:45 - 02.01.2017 06:00","61728","57099"
"02.01.2017 06:00 - 02.01.2017 06:15","63763","59076"
"02.01.2017 06:15 - 02.01.2017 06:30","64983","60360"
"02.01.2017 06:30 - 02.01.2017 06:45","67270","61861"
"02.01.2017 06:45 - 02.01.2017 07:00","67805","63567"
"02.01.2017 07:00 - 02.01.2017 07:15","68199","65059"
"02.01.2017 07:15 - 02.01.2017 07:30","68813","65420"
"02.01.2017 07:30 - 02.01.2017 07:45","69940","66101"
"02.01.2017 07:45 - 02.01.2017 08:00","70277","67078"
"02.01.2017 08:00 - 02.01.2017 08:15","70159","67410"
