Name,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,Crude Oil Dated Brent U$/BBL,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 20 YEAR NADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE NADJ
15/01/1986,57.5555,18.3,9.59,3.89
15/02/1986,57.1707,16.7,9.08,3.11
15/03/1986,56.7784,11.6,8.09,2.26
15/04/1986,56.8228,12.35,7.5,1.59
15/05/1986,56.938,13.45,7.81,1.49
15/06/1986,56.7427,11.5,7.69,1.77
15/07/1986,57.0569,9.3,7.29,1.58
15/08/1986,56.9807,14.9,7.28,1.57
15/09/1986,57.0954,14.05,7.56,1.75
15/10/1986,57.3542,14.25,7.61,1.47
15/11/1986,57.623,14.55,7.42,1.28
15/12/1986,58.1006,18.15,7.28,1.1
15/01/1987,57.9173,18.35,7.08,1.46
15/02/1987,58.663,16.2,7.25,2.1
15/03/1987,58.7602,18.45,7.25,3.03
15/04/1987,59.1416,18.25,8.02,3.78
15/05/1987,59.517,18.58,8.61,3.86
15/06/1987,59.7996,19.08,8.4,3.65
15/07/1987,60.2152,20.03,8.45,3.93
15/08/1987,60.7146,18.63,8.76,4.28
15/09/1987,60.8781,18.48,9.42,4.36
15/10/1987,61.7569,18.8,9.52,4.53
15/11/1987,62.091,17.7,8.86,4.53
15/12/1987,62.394,17.6,8.99,4.43
15/01/1988,62.4207,16.28,8.67,4.05
15/02/1988,62.6908,14.73,8.21,3.94
15/03/1988,62.8421,15.65,8.37,3.93
15/04/1988,63.1885,16.6,8.72,3.9
15/05/1988,63.1203,16.2,9.09,3.89
15/06/1988,63.2843,14.18,8.92,3.96
15/07/1988,63.3155,15.75,9.06,4.13
15/08/1988,63.5859,14.4,9.26,4.02
15/09/1988,63.405,11.93,8.98,4.17
15/10/1988,63.7184,12.6,8.8,4.25
15/11/1988,63.8175,14.35,8.96,4.25
15/12/1988,64.1273,16.23,9.11,4.42
15/01/1989,64.3162,16.38,9.09,4.67
15/02/1989,64.026,17.23,9.17,4.83
15/03/1989,64.166,20.45,9.36,4.98
15/04/1989,64.222,20.15,9.18,5.12
15/05/1989,63.7707,18.25,8.86,5.36
15/06/1989,63.8022,18.28,8.28,5.17
15/07/1989,63.236,16.3,8.02,4.98
15/08/1989,63.8059,17.2,8.11,4.71
15/09/1989,63.576,18.23,8.19,4.34
15/10/1989,63.5346,18.93,8.01,4.49
15/11/1989,63.7465,18.48,7.87,4.66
15/12/1989,64.1419,21.05,7.84,4.65
15/01/1990,63.7117,19.81,8.21,5.2
15/02/1990,64.3504,19.49,8.47,5.26
15/03/1990,64.6721,18.29,8.59,5.23
15/04/1990,64.5975,17.19,8.79,4.71
15/05/1990,64.7028,16.21,8.76,4.36
15/06/1990,64.9174,16.29,8.48,4.67
15/07/1990,64.8436,19.69,8.47,4.82
15/08/1990,65.043,26.56,8.75,5.62
15/09/1990,65.1372,39.06,8.89,6.16
15/10/1990,64.6442,34.01,8.72,6.29
15/11/1990,63.8853,29.81,8.39,6.27
15/12/1990,63.4658,27.76,8.08,6.11
15/01/1991,63.1915,20.06,8.09,5.65
15/02/1991,62.7585,18.81,7.85,5.31
15/03/1991,62.4265,18.16,8.11,4.9
15/04/1991,62.5503,19.49,8.04,4.89
15/05/1991,63.1756,19.34,8.07,4.95
15/06/1991,63.742,18.34,8.28,4.7
15/07/1991,63.8029,19.64,8.27,4.45
15/08/1991,63.8503,20.49,7.9,3.8
15/09/1991,64.4151,20.99,7.65,3.39
15/10/1991,64.2992,21.94,7.53,2.92
15/11/1991,64.2209,20.19,7.42,2.99
15/12/1991,63.9602,17.79,7.09,3.06
15/01/1992,63.596,18.09,7.03,2.6
15/02/1992,64.0409,17.44,7.34,2.82
15/03/1992,64.5973,18.04,7.54,3.19
15/04/1992,65.0756,19.64,7.48,3.18
15/05/1992,65.2831,20.64,7.39,3.02
15/06/1992,65.2957,20.74,7.26,3.09
15/07/1992,65.8801,20.34,6.84,3.16
15/08/1992,65.5581,19.8,6.59,3.15
15/09/1992,65.715,20.26,6.42,2.99
15/10/1992,66.2013,19.26,6.59,3.2
15/11/1992,66.4879,19.06,6.87,3.05
15/12/1992,66.5431,17.81,6.77,2.9
15/01/1993,66.8264,18.46,6.6,3.26
15/02/1993,67.1172,18.81,6.26,3.25
15/03/1993,67.0479,18.86,5.98,3.09
15/04/1993,67.2498,19.16,5.97,3.23
15/05/1993,67.0325,18.68,6.04,3.22
15/06/1993,67.1532,17.64,5.96,3
15/07/1993,67.3586,16.78,5.81,2.78
15/08/1993,67.2888,17,5.68,2.77
15/09/1993,67.6092,17.49,5.36,2.69
15/10/1993,68.1214,15.93,6.07,2.75
15/11/1993,68.4089,14.33,6.38,2.68
15/12/1993,68.7737,13.32,6.4,2.75
15/01/1994,69.0299,14.15,6.39,2.52
15/02/1994,69.0418,13.55,6.57,2.52
15/03/1994,69.7582,13.3,7,2.51
15/04/1994,70.125,15.3,7.4,2.36
15/05/1994,70.4978,16.05,7.54,2.29
15/06/1994,70.948,16.9,7.51,2.49
15/07/1994,71.0595,18.05,7.67,2.77
15/08/1994,71.4749,15.75,7.62,2.9
15/09/1994,71.7333,16.91,7.87,2.96
15/10/1994,72.3479,17.13,8.08,2.61
15/11/1994,72.8018,17.03,8.2,2.67
15/12/1994,73.5563,16.23,7.99,2.67
15/01/1995,73.6891,16.9,7.97,2.8
15/02/1995,73.5889,17.2,7.73,2.86
15/03/1995,73.6895,18.03,7.57,2.85
15/04/1995,73.676,19.1,7.45,3.05
15/05/1995,73.8858,17.6,7.01,3.19
15/06/1995,74.1391,16.6,6.59,3.04
15/07/1995,73.8447,15.88,6.74,2.76
15/08/1995,74.7803,16.1,6.92,2.62
15/09/1995,75.0755,16.5,6.65,2.54
15/10/1995,74.9925,16.58,6.45,2.81
15/11/1995,75.1822,17.13,6.33,2.61
15/12/1995,75.4725,18.65,6.12,2.54
15/01/1996,74.9823,16.65,6.11,2.73
15/02/1996,76.153,18.8,6.3,2.65
15/03/1996,76.0724,20.33,6.74,2.84
15/04/1996,76.7608,19.5,6.98,2.9
15/05/1996,77.3269,18.05,7.11,2.89
15/06/1996,77.9694,19.2,7.22,2.75
15/07/1996,77.8351,19,7.14,2.95
15/08/1996,78.3005,21.05,6.97,2.88
15/09/1996,78.8378,23.18,7.17,3
15/10/1996,78.7843,22.8,6.9,2.99
15/11/1996,79.4683,23.17,6.58,3.26
15/12/1996,79.9829,23.9,6.65,3.32
15/01/1997,80.0837,23.28,6.91,3.04
15/02/1997,81.0483,19.45,6.77,3.03
15/03/1997,81.6195,18.53,7.05,2.76
15/04/1997,81.6408,18.25,7.2,2.5
15/05/1997,82.1311,19.1,7.02,2.23
15/06/1997,82.5332,18.22,6.84,2.3
15/07/1997,83.1538,18.94,6.56,2.23
15/08/1997,84.0293,17.98,6.65,2.23
15/09/1997,84.7873,19.98,6.56,2.15
15/10/1997,85.5125,19.42,6.38,2.08
15/11/1997,86.2601,18.96,6.2,1.83
15/12/1997,86.5262,15.86,6.07,1.7
15/01/1998,86.9662,15.59,5.88,1.57
15/02/1998,87.0687,13.53,5.96,1.44
15/03/1998,87.1414,13.87,6.01,1.38
15/04/1998,87.4497,13.79,6,1.44
15/05/1998,88.0124,14.03,6.01,1.69
15/06/1998,87.4571,11.92,5.8,1.68
15/07/1998,87.1484,12.71,5.78,1.68
15/08/1998,88.936,12.27,5.66,1.62
15/09/1998,88.778,14.82,5.38,1.49
15/10/1998,89.4857,12.22,5.3,1.49
15/11/1998,89.4358,9.93,5.48,1.55
