DATE,PCE
15/01/1959,306.5
15/02/1959,310
15/03/1959,313.1
15/04/1959,312.6
15/05/1959,316.5
15/06/1959,318.6
15/07/1959,318.1
15/08/1959,320.5
15/09/1959,324.6
15/10/1959,323.1
15/11/1959,323.2
15/12/1959,323.2
15/01/1960,324
15/02/1960,325.7
15/03/1960,330.5
15/04/1960,336.9
15/05/1960,330.4
15/06/1960,330.5
15/07/1960,331.8
15/08/1960,332
15/09/1960,333.8
15/10/1960,335.8
15/11/1960,335.8
15/12/1960,331.7
15/01/1961,332.6
15/02/1961,334.2
15/03/1961,338.1
15/04/1961,338.1
15/05/1961,340.4
15/06/1961,341.3
15/07/1961,341.1
15/08/1961,342.6
15/09/1961,344.9
15/10/1961,347
15/11/1961,350.4
15/12/1961,352.9
15/01/1962,353.7
15/02/1962,354.5
15/03/1962,357.9
15/04/1962,359.6
15/05/1962,362.5
15/06/1962,360.9
15/07/1962,361.9
15/08/1962,363.4
15/09/1962,369.3
15/10/1962,367.1
15/11/1962,372.2
15/12/1962,374.1
15/01/1963,374.9
15/02/1963,373.8
15/03/1963,375.4
15/04/1963,376.8
15/05/1963,377.6
15/06/1963,382.1
15/07/1963,384.9
15/08/1963,386.7
15/09/1963,385.9
15/10/1963,386.5
15/11/1963,389.9
15/12/1963,395.2
15/01/1964,397.3
15/02/1964,400.7
15/03/1964,402.4
15/04/1964,403.4
15/05/1964,409
15/06/1964,411.9
15/07/1964,415.5
15/08/1964,418.3
15/09/1964,417.2
15/10/1964,420.2
15/11/1964,416.9
15/12/1964,421.6
15/01/1965,425
15/02/1965,432
15/03/1965,433.9
15/04/1965,437.6
15/05/1965,438.2
15/06/1965,435.8
15/07/1965,441.6
15/08/1965,445
15/09/1965,452.6
15/10/1965,459.1
15/11/1965,459.7
15/12/1965,462.3
15/01/1966,465.8
15/02/1966,470.9
15/03/1966,475.7
15/04/1966,477.6
15/05/1966,473.8
15/06/1966,476.2
15/07/1966,481.2
15/08/1966,483.8
15/09/1966,489.9
15/10/1966,489
15/11/1966,490.7
15/12/1966,492.6
15/01/1967,494.9
15/02/1967,493.7
15/03/1967,496.6
15/04/1967,502.1
15/05/1967,503
15/06/1967,507.5
15/07/1967,507.4
15/08/1967,510.5
15/09/1967,516.3
15/10/1967,512.9
15/11/1967,518.1
15/12/1967,525.8
15/01/1968,531.5
15/02/1968,534.2
15/03/1968,544.9
15/04/1968,544.6
15/05/1968,550.4
15/06/1968,556.8
15/07/1968,563.8
15/08/1968,567.6
15/09/1968,568.8
15/10/1968,572.3
15/11/1968,577.4
15/12/1968,577.2
15/01/1969,584.2
15/02/1969,589.5
15/03/1969,589.7
15/04/1969,594.7
15/05/1969,601.1
15/06/1969,601.7
15/07/1969,603.5
15/08/1969,610.8
15/09/1969,614.1
15/10/1969,619.4
15/11/1969,621.4
15/12/1969,623.7
15/01/1970,629.6
15/02/1970,634.9
15/03/1970,633.2
15/04/1970,637
15/05/1970,643.4
15/06/1970,647.2
15/07/1970,649.5
15/08/1970,653.9
15/09/1970,660.1
15/10/1970,659.3
15/11/1970,657.6
15/12/1970,666.6
15/01/1971,677.2
15/02/1971,680.4
15/03/1971,683
15/04/1971,689.8
15/05/1971,692.2
15/06/1971,700.8
15/07/1971,699.9
15/08/1971,706
15/09/1971,714.1
15/10/1971,716.9
15/11/1971,722.1
15/12/1971,729.6
15/01/1972,732.6
15/02/1972,737.3
15/03/1972,750.4
15/04/1972,753.8
15/05/1972,759.2
15/06/1972,762.9
15/07/1972,771.2
15/08/1972,777.7
15/09/1972,782.5
15/10/1972,796.3
15/11/1972,801.8
15/12/1972,807.5
15/01/1973,817.9
15/02/1973,827.2
15/03/1973,834.2
15/04/1973,837.2
15/05/1973,843.1
15/06/1973,845.8
15/07/1973,855.7
15/08/1973,854.9
15/09/1973,870.9
15/10/1973,869.8
15/11/1973,878.6
15/12/1973,878.4
15/01/1974,886.4
15/02/1974,891.6
15/03/1974,903.3
15/04/1974,912.7
15/05/1974,924.3
15/06/1974,929.9
15/07/1974,939.8
15/08/1974,956.6
15/09/1974,956.8
15/10/1974,961
15/11/1974,958
15/12/1974,963.6
15/01/1975,977.4
15/02/1975,991.3
15/03/1975,992.6
15/04/1975,997.2
15/05/1975,1021.2
15/06/1975,1029.1
15/07/1975,1042.2
15/08/1975,1049.4
15/09/1975,1057.2
15/10/1975,1063.2
15/11/1975,1078
15/12/1975,1094.4
15/01/1976,1109.5
15/02/1976,1110.1
15/03/1976,1117.3
15/04/1976,1127.8
15/05/1976,1125.1
15/06/1976,1142.9
15/07/1976,1152.1
15/08/1976,1160.5
15/09/1976,1171.4
15/10/1976,1179.5
15/11/1976,1191.7
15/12/1976,1214.1
15/01/1977,1217.4
15/02/1977,1233.7
15/03/1977,1240.7
15/04/1977,1249.7
15/05/1977,1259.6
15/06/1977,1266.3
15/07/1977,1283.2
15/08/1977,1288.5
15/09/1977,1297.4
15/10/1977,1314.3
15/11/1977,1330
15/12/1977,1339.3
15/01/1978,1333
15/02/1978,1358.9
15/03/1978,1381.4
15/04/1978,1400.2
15/05/1978,1415.9
15/06/1978,1429.8
15/07/1978,1430.8
15/08/1978,1451
15/09/1978,1456.9
15/10/1978,1471
15/11/1978,1484.7
15/12/1978,1500.5
15/01/1979,1506.3
15/02/1979,1521.6
15/03/1979,1535
15/04/1979,1542.3
15/05/1979,1562.7
15/06/1979,1579.6
15/07/1979,1590.1
15/08/1979,1619.7
15/09/1979,1638.1
15/10/1979,1646
15/11/1979,1661.7
15/12/1979,1670.7
15/01/1980,1701.6
15/02/1980,1705.6
15/03/1980,1712.4
15/04/1980,1699.5
15/05/1980,1704.3
15/06/1980,1723
15/07/1980,1751.2
15/08/1980,1767.7
15/09/1980,1784.1
15/10/1980,1820.4
15/11/1980,1830.2
15/12/1980,1855.5
15/01/1981,1874.7
15/02/1981,1889.4
15/03/1981,1908.1
15/04/1981,1909.1
15/05/1981,1918.2
15/06/1981,1938.5
15/07/1981,1945.7
15/08/1981,1969.8
15/09/1981,1968.2
15/10/1981,1966.2
15/11/1981,1972.4
