Name,US TREASURY BILL RATE - 3 MONTH (EP) NADJ
15.06.2006,4.87
15.07.2006,4.97
15.08.2006,4.92
15.09.2006,4.77
15.10.2006,4.95
15.11.2006,4.90
15.12.2006,4.89
15.01.2007,4.99
15.02.2007,5.01
15.03.2007,4.90
15.04.2007,4.79
15.05.2007,4.60
15.06.2007,4.68
15.07.2007,4.82
15.08.2007,3.91
15.09.2007,3.72
15.10.2007,3.84
15.11.2007,3.08
15.12.2007,3.29
15.01.2008,1.92
15.02.2008,1.81
15.03.2008,1.36
15.04.2008,1.41
15.05.2008,1.85
15.06.2008,1.87
15.07.2008,1.65
15.08.2008,1.69
15.09.2008,0.90
15.10.2008,0.44
15.11.2008,0.01
15.12.2008,0.11
15.01.2009,0.24
15.02.2009,0.26
15.03.2009,0.21
15.04.2009,0.14
15.05.2009,0.14
15.06.2009,0.19
15.07.2009,0.18
15.08.2009,0.15
15.09.2009,0.14
15.10.2009,0.05
15.11.2009,0.06
15.12.2009,0.06
15.01.2010,0.08
15.02.2010,0.13
15.03.2010,0.16
15.04.2010,0.16
15.05.2010,0.16
15.06.2010,0.18
15.07.2010,0.15
15.08.2010,0.14
15.09.2010,0.16
15.10.2010,0.12
15.11.2010,0.17
15.12.2010,0.12
15.01.2011,0.15
15.02.2011,0.15
15.03.2011,0.09
15.04.2011,0.04
15.05.2011,0.06
15.06.2011,0.03
15.07.2011,0.10
15.08.2011,0.02
15.09.2011,0.02
15.10.2011,0.01
15.11.2011,0.01
15.12.2011,0.02
15.01.2012,0.06
15.02.2012,0.08
15.03.2012,0.07
15.04.2012,0.10
15.05.2012,0.07
15.06.2012,0.09
15.07.2012,0.11
15.08.2012,0.09
15.09.2012,0.10
15.10.2012,0.11
15.11.2012,0.08
15.12.2012,0.05
15.01.2013,0.07
15.02.2013,0.11
15.03.2013,0.07
15.04.2013,0.05
15.05.2013,0.04
15.06.2013,0.04
15.07.2013,0.04
15.08.2013,0.03
15.09.2013,0.02
15.10.2013,0.04
15.11.2013,0.06
15.12.2013,0.07
15.01.2014,0.02
15.02.2014,0.05
15.03.2014,0.05
15.04.2014,0.03
15.05.2014,0.04
15.06.2014,0.04
15.07.2014,0.03
15.08.2014,0.03
15.09.2014,0.02
15.10.2014,0.01
15.11.2014,0.02
15.12.2014,0.04
15.01.2015,0.02
15.02.2015,0.02
15.03.2015,0.03
15.04.2015,0.01
15.05.2015,0.01
15.06.2015,0.01
15.07.2015,0.08
15.08.2015,0.08
15.09.2015,-0.01
15.10.2015,0.08
15.11.2015,0.22
15.12.2015,0.16
15.01.2016,0.32
15.02.2016,0.33
15.03.2016,0.21
15.04.2016,0.22
15.05.2016,0.34
15.06.2016,0.26
15.07.2016,0.27
15.08.2016,0.33
15.09.2016,0.28
15.10.2016,0.34
15.11.2016,0.48
15.12.2016,0.50
15.01.2017,0.52
15.02.2017,0.53
15.03.2017,0.75
15.04.2017,0.79
15.05.2017,0.96
15.06.2017,1.01
15.07.2017,1.05
15.08.2017,0.99
15.09.2017,1.04
15.10.2017,1.13
