Name,US TREASURY BILL RATE - 3 MONTH (EP) NADJ
15.12.1987,5.85
15.01.1988,5.81
15.02.1988,5.78
15.03.1988,5.89
15.04.1988,6.17
15.05.1988,6.62
15.06.1988,6.75
15.07.1988,7.17
15.08.1988,7.54
15.09.1988,7.49
15.10.1988,7.61
15.11.1988,8.09
15.12.1988,8.39
15.01.1989,8.68
15.02.1989,9.02
15.03.1989,9.20
15.04.1989,8.70
15.05.1989,8.93
15.06.1989,8.26
15.07.1989,8.05
15.08.1989,8.17
15.09.1989,8.14
15.10.1989,8.04
15.11.1989,7.85
15.12.1989,7.85
15.01.1990,8.00
15.02.1990,8.05
15.03.1990,8.05
15.04.1990,8.05
15.05.1990,8.01
15.06.1990,8.00
15.07.1990,7.73
15.08.1990,7.62
15.09.1990,7.37
15.10.1990,7.36
15.11.1990,7.25
15.12.1990,6.63
15.01.1991,6.38
15.02.1991,6.20
15.03.1991,5.91
15.04.1991,5.70
15.05.1991,5.68
15.06.1991,5.69
15.07.1991,5.69
15.08.1991,5.48
15.09.1991,5.26
15.10.1991,4.95
15.11.1991,4.47
15.12.1991,3.95
15.01.1992,3.94
15.02.1992,4.02
15.03.1992,4.15
15.04.1992,3.79
15.05.1992,3.80
15.06.1992,3.65
15.07.1992,3.25
15.08.1992,3.23
15.09.1992,2.74
15.10.1992,3.02
15.11.1992,3.34
15.12.1992,3.15
15.01.1993,2.97
15.02.1993,3.00
15.03.1993,2.96
15.04.1993,2.95
15.05.1993,3.13
15.06.1993,3.10
15.07.1993,3.11
15.08.1993,3.08
15.09.1993,2.98
15.10.1993,3.09
15.11.1993,3.14
15.12.1993,3.01
15.01.1994,3.03
15.02.1994,3.44
15.03.1994,3.57
15.04.1994,3.96
15.05.1994,4.28
15.06.1994,4.23
15.07.1994,4.37
15.08.1994,4.68
15.09.1994,4.79
15.10.1994,5.16
15.11.1994,5.74
15.12.1994,5.70
15.01.1995,6.00
15.02.1995,5.94
15.03.1995,5.88
15.04.1995,5.88
15.05.1995,5.83
15.06.1995,5.66
15.07.1995,5.58
15.08.1995,5.45
15.09.1995,5.42
15.10.1995,5.51
15.11.1995,5.53
15.12.1995,5.08
15.01.1996,5.05
15.02.1996,5.01
15.03.1996,5.15
15.04.1996,5.15
15.05.1996,5.17
15.06.1996,5.16
15.07.1996,5.32
15.08.1996,5.29
15.09.1996,5.04
15.10.1996,5.15
15.11.1996,5.13
15.12.1996,5.15
15.01.1997,5.15
15.02.1997,5.22
15.03.1997,5.34
15.04.1997,5.24
15.05.1997,4.95
15.06.1997,5.17
15.07.1997,5.24
15.08.1997,5.23
15.09.1997,5.11
15.10.1997,5.20
15.11.1997,5.23
15.12.1997,5.35
15.01.1998,5.18
15.02.1998,5.33
15.03.1998,5.16
15.04.1998,4.98
15.05.1998,5.02
15.06.1998,5.10
15.07.1998,5.08
15.08.1998,4.89
15.09.1998,4.36
15.10.1998,4.33
15.11.1998,4.54
15.12.1998,4.47
15.01.1999,4.47
15.02.1999,4.70
15.03.1999,4.50
15.04.1999,4.55
15.05.1999,4.66
15.06.1999,4.78
15.07.1999,4.75
15.08.1999,4.93
15.09.1999,4.86
15.10.1999,5.13
15.11.1999,5.32
15.12.1999,5.22
15.01.2000,5.68
15.02.2000,5.80
15.03.2000,5.88
15.04.2000,5.81
15.05.2000,5.64
15.06.2000,5.87
15.07.2000,6.20
15.08.2000,6.30
15.09.2000,6.21
15.10.2000,6.37
15.11.2000,6.21
15.12.2000,5.89
15.01.2001,4.99
15.02.2001,4.84
15.03.2001,4.29
15.04.2001,3.89
15.05.2001,3.55
15.06.2001,3.62
15.07.2001,3.54
15.08.2001,3.37
15.09.2001,2.37
15.10.2001,2.05
15.11.2001,1.78
15.12.2001,1.73
15.01.2002,1.76
15.02.2002,1.77
15.03.2002,1.79
15.04.2002,1.75
15.05.2002,1.73
15.06.2002,1.67
15.07.2002,1.68
15.08.2002,1.64
15.09.2002,1.60
15.10.2002,1.47
15.11.2002,1.23
15.12.2002,1.19
15.01.2003,1.15
15.02.2003,1.18
15.03.2003,1.09
15.04.2003,1.12
15.05.2003,1.08
15.06.2003,0.84
15.07.2003,0.95
15.08.2003,0.96
15.09.2003,0.93
15.10.2003,0.93
15.11.2003,0.91
15.12.2003,0.91
15.01.2004,0.90
15.02.2004,0.93
15.03.2004,0.93
15.04.2004,0.96
15.05.2004,1.06
15.06.2004,1.30
15.07.2004,1.41
15.08.2004,1.59
15.09.2004,1.68
15.10.2004,1.87
15.11.2004,2.19
15.12.2004,2.18
15.01.2005,2.48
15.02.2005,2.72
15.03.2005,2.73
15.04.2005,2.84
15.05.2005,2.93
15.06.2005,3.06
15.07.2005,3.34
15.08.2005,3.44
15.09.2005,3.47
15.10.2005,3.89
15.11.2005,3.86
15.12.2005,3.99
15.01.2006,4.37
15.02.2006,4.51
15.03.2006,4.52
15.04.2006,4.65
15.05.2006,4.74
