Date,YIELD_TO_WORST
15/01/1987,12.21
15/02/1987,11.98
15/03/1987,12
15/04/1987,12.73
15/05/1987,12.7
15/06/1987,12.66
15/07/1987,12.68
15/08/1987,12.76
15/09/1987,13.61
15/10/1987,14.48
15/11/1987,14.14
15/12/1987,13.91
15/01/1988,13.48
15/02/1988,13.12
15/03/1988,13.54
15/04/1988,13.53
15/05/1988,13.74
15/06/1988,13.65
15/07/1988,13.73
15/08/1988,13.91
15/09/1988,13.78
15/10/1988,13.75
15/11/1988,13.79
15/12/1988,13.97
15/01/1989,13.84
15/02/1989,14.03
15/03/1989,14.52
15/04/1989,14.64
15/05/1989,14.2
15/06/1989,14.18
15/07/1989,14.33
15/08/1989,14.44
15/09/1989,14.96
15/10/1989,15.77
15/11/1989,15.96
15/12/1989,16.08
15/01/1990,16.53
15/02/1990,17.05
15/03/1990,16.95
15/04/1990,17.5
15/05/1990,17.66
15/06/1990,16.92
15/07/1990,16.55
15/08/1990,17.66
15/09/1990,19.63
15/10/1990,20.89
15/11/1990,20.84
15/12/1990,20.94
15/01/1991,20.5
15/02/1991,18.01
15/03/1991,16
15/04/1991,15.45
15/05/1991,15.17
15/06/1991,14.54
15/07/1991,14.08
15/08/1991,13.84
15/09/1991,13.64
15/10/1991,13.24
15/11/1991,13.12
15/12/1991,13.37
15/01/1992,12.47
15/02/1992,11.56
15/03/1992,11.28
15/04/1992,11.4
15/05/1992,11.61
15/06/1992,11.62
15/07/1992,11.42
15/08/1992,10.77
15/09/1992,10.69
15/10/1992,11.07
15/11/1992,11.05
15/12/1992,10.86
15/01/1993,9.79
15/02/1993,9.43
15/03/1993,9.3
15/04/1993,9.22
15/05/1993,9.12
15/06/1993,8.78
15/07/1993,8.71
15/08/1993,8.99
15/09/1993,9.24
15/10/1993,9.05
15/11/1993,9.14
15/12/1993,9.07
15/01/1994,8.61
15/02/1994,8.88
15/03/1994,9.92
15/04/1994,10.28
15/05/1994,10.36
15/06/1994,10.45
15/07/1994,10.41
15/08/1994,10.41
15/09/1994,10.64
15/10/1994,10.81
15/11/1994,11.21
15/12/1994,11.28
15/01/1995,11.19
15/02/1995,10.77
15/03/1995,10.86
15/04/1995,10.5
15/05/1995,9.92
15/06/1995,10.02
15/07/1995,9.91
15/08/1995,10.07
15/09/1995,10
15/10/1995,10.02
15/11/1995,9.98
15/12/1995,9.84
15/01/1996,9.52
15/02/1996,9.69
15/03/1996,9.84
15/04/1996,9.96
15/05/1996,10.01
15/06/1996,10.01
15/07/1996,10.17
15/08/1996,10.11
15/09/1996,9.74
15/10/1996,9.79
15/11/1996,9.54
15/12/1996,9.46
15/01/1997,9.41
15/02/1997,9.26
15/03/1997,9.94
15/04/1997,9.82
15/05/1997,9.46
